Name,Shortname,Type,Sponsoring dept,Description,URL
National Fraud Authority,NFA,Executive agency,Attorney General's Office,"The National Fraud Authority (NFA) is an executive agency of the Home Office. This means we sit at the heart of government with access to key decision-makers and ministers across a range of key departments.

We work with a huge range of stakeholders from across the wider government, law enforcement, industry and voluntary/charity sectors to focus and coordinate the fight against fraud in the UK. Fraudsters attack all economic sectors and parts of our society. Our fight against them is much more effective when we work together.

'Fighting Fraud Together' sets out a new approach with the ambition that: 'By 2015 our country will be demonstrably more resilient to and less damaged by fraud through:

individuals, businesses, public and voluntary bodies detecting and preventing more fraud
law enforcement and other partners increasing the risk of disruption and punishment to organised and opportunistic fraudsters, thus deterring potential criminal offenders'
We will deliver this mission through three strategic objectives:

awareness: we will prevent more fraud by achieving a step change in awareness of fraud among the general public and organisations in the private, public and voluntary sectors and in their ability to protect and safeguard themselves
prevention: we will prevent more fraud through stronger systems and controls in our businesses, and public and voluntary services
enforcement: we will strengthen our response to be tougher on fraudsters by disrupting and punishing them more efficiently and effectively",http://www.homeoffice.gov.uk/agencies-public-bodies/nfa/
Treasury Solicitor’s Department,TSOL,Executive Agency,Attorney General's Office,"The Treasury Solicitor's Department is anExecutive Agency acting under the remit of the Attorney General, Dominic Grieve QC MP.
The Solicitor General Edward Garnier QC MP supports the Attorney across the range of his responsibilities.

The formal title given to our ChiefExecutive, Paul Jenkins QC, is Her Majesty's Procurator General and Treasury Solicitor.

He is Head of the Government Legal Service, comprising a total of 1900 Government Lawyers and also holds the office of the Queen's Proctor, responsible for collecting Bona Vacantia (ownerless property) on behalf of the Crown.

The Treasury Solicitor's Department is the largest provider of legal services across government, working with over 180 government departments and agencies. It also collects bona vacantia on behalf of the Crown. Our detailed knowledge of our exclusively public sector client base ensures that we deliver an unrivalled service.",http://www.tsol.gov.uk/
Council for Science and Technology,CST,Advisory non-departmental public body,"Department for Business, Innovation and Skills","To advise the Prime Minister on the strategic policies and framework for:

Sustaining and developing science, engineering and technology (SET) in the UK, and promoting international co-operation in SET.
Fostering the practice and perception of science, engineering and technology as an integral part of the culture of the UK.
Promoting excellence in SET education.
Making more effective use of research and scientific advice in the development and delivery of policy and public services across Government .
Promoting SET-based innovation in business and the public services to promote the sustainable development of the UK economy, the health and quality of life of UK citizens, and global sustainable development.
The Council will work on cross-cutting issues of strategic importance, taking a medium to longer term approach. In developing its advice it will take into account the cultural, economic, environmental, ethical and social context of developments in SET.",http://www.bis.gov.uk/cst
Low Pay Commission ,LPC,Advisory non-departmental public body,"Department for Business, Innovation and Skills","The Low Pay Commission (LPC) is an independent statutory non departmental public body set up under the National Minimum Wage Act 1998 to advise the Government about the National Minimum Wage. Our permanent status was confirmed by Government in 2001 and we were given a Terms of Reference for a programme of longer-term research. To enable us to advise and make our recommendations to Government, we undertake the following activities:
Extensive research and consultation;
Commission research projects;
Analyse relevant data and actively encourage the Office of National Statistics to establish better estimates of the incidence of low pay;
Carry out surveys of firms in low-paying sectors;
Consultation with employers, workers and their representatives;
Take written and oral evidence from a wide range of organisations; and
Fact-finding visits throughout the UK to meet employers, employees and representative organisations.",http://www.lowpay.gov.uk/
Insolvency Service,IS,Executive agency,"Department for Business, Innovation and Skills",,http://www.bis.gov.uk/insolvency
UK Intellectual Property Office,IPO,Executive agency,"Department for Business, Innovation and Skills",,http://www.ipo.gov.uk
Companies House,Companies House,Executive Agency,"Department for Business, Innovation and Skills","The main functions of Companies House are to:

incorporate and dissolve limited companies;
examine and store company information delivered under the Companies Act and related legislation; and
make this information available to the public.
The Registrar of Companies

The Registrar of Companies for England and Wales, and ChiefExecutive of Companies House is Gareth Jones. His office is based at Companies House in Cardiff.

The Registrar of Companies for Scotland is Dorothy Blair and her office is based in Edinburgh.

The Registrar of Companies for Northern Ireland is Helen Shilliday and her office is based in Belfast.

There is also an Information Centre in London.",http://www.companieshouse.gov.uk/
Met Office,Met Office,Executive Agency,"Department for Business, Innovation and Skills","The Met Office is the UK's National Weather Service.
We have a long history of weather forecasting and have been working in the area of climate change for more than two decades.
We are a Trading Fund within the Department for Business, Innovation and Skills, operating on a commercial basis under set targets. Our targets are verified and publicised in this section.
We employ more than 1,800 people around the world.",http://www.metoffice.gov.uk/
National Measurements Office,NMO,Executive Agency,"Department for Business, Innovation and Skills","The role of the National Measurement Office is to ensure UK measurement is accurate, fair and legal. It has the lead responsibility for policy on measuring instruments in use for trade and is responsible for the implementation of European Directives on measuring instruments and provides the focus for legal metrology in the UK.

The National Measurement System (NMS) is part of the NMO, which is the UK's national infrastructure of laboratories that deliver world class measurement, science and technology. NMO carries out agreed projects on a 3 year basis under this programme.

The Laboratory is responsible for the examination and approval of new weighing and measuring equipment to be used for trade, to establish compliance with the requirements of the Weights and Measures Act 1985 and relevant European legislation. Equipment ranges from railway weighbridges to supermarket scales and from beer glasses to petrol pumps. Many of the measuring instruments are total systems incorporating microprocessor-based control and management features. A consultancy service is available to manufacturers at all stages of development of equipment prior to application for type approval.

The Laboratory maintains traceability in trade measurement on behalf of the Secretary of State. It maintains mass, volume and length standards, which are used to re-verify Trading Standards Departments measures on a five year cycle. In addition NMO provides calibration and testing services in the United Kingdom Accreditation Service (UKAS)-accredited laboratories in Teddington for local authorities and customers from industry. ",http://www.bis.gov.uk/nmo
Skills Funding Agency,SFA,Executive Agency,"Department for Business, Innovation and Skills","We are a partner organisation of the Department for Business, Innovation and Skills and our job is to fund and regulate adult further education and skills training in England.

Our mission is to ensure that people and businesses can access the skills training they need to succeed in playing their part in society and in growing England’s economy. We do this in the context of policy set by the Department for Business, Innovation and Skills and informed by the needs of businesses, communities and sector and industry bodies.
What we do

We invest £4 billion per year of public spending in colleges and training organisations, to fund training for adults in England. The skills training we fund enables people to do their jobs better, get new jobs, or progress in their careers.

We work to an annual budget, targets and priorities set by the Department for Business, Innovation and Skills. We work at a ‘short arm’s length’ from the Department for Business, Innovation and Skills, allowing a fast and effective response to policy, while reinforcing the autonomy of the Further Education sector.

We allocate funding to colleges and other skills and training organisations who have discretion over expenditure to meet the needs of local businesses and communities.

We house the National Apprenticeship Service, with a field force located across the country, working to develop the relationship with business to drive forward the government’s ambition for increasing apprenticeships.

We champion high standards of training and development through the running of vocational skills competitions and awards. Skills competitions support the government’s ambition of raising aspirations and attainment in workplace learning, and awards, such as the National Training Awards, identify best practice in workplace learning. This year, we will also host WorldSkills in London, the world’s largest vocational skills competition, with young people from across the globe competing to be the best of the best in their chosen skill.",http://skillsfundingagency.bis.gov.uk/
