old_url,ignoreDCLG page title,title,summary,body,price,order_url,publication_date,ignoretype from DCLG,publication_type,ignoreAlso detailed guidance?,ISBN,policy_1,policy_2,policy_3,policy_4,attachment_1_URL,attachment_1_title,attachment_2_URL,attachment_2_title,attachment_3_URL,attachment_3_title,attachment_4_URL,attachment_4_title,attachment_5_URL,attachment_5_title,attachment_6_URL,attachment_6_title,attachment_7_URL,attachment_7_title,attachment_8_URL,attachment_8_title,attachment_9_URL,attachment_9_title,attachment_10_URL,attachment_10_title,attachment_11_URL,attachment_11_title,attachment_12_URL,attachment_12_title,attachment_13_URL,attachment_13_title,attachment_14_URL,attachment_14_title,attachment_15_URL,attachment_15_title,attachment_16_URL,attachment_16_title,attachment_17_URL,attachment_17_title,attachment_18_URL,attachment_18_title,attachment_19_URL,attachment_19_title,attachment_20_URL,attachment_20_title,attachment_21_URL,attachment_21_title,attachment_22_URL,attachment_22_title,attachment_23_URL,attachment_23_title,attachment_24_URL,attachment_24_title,attachment_25_URL,attachment_25_title,attachment_26_URL,attachment_26_title,attachment_27_URL,attachment_27_title,attachment_28_URL,attachment_28_title,attachment_29_URL,attachment_29_title,attachment_30_URL,attachment_30_title,attachment_31_URL,attachment_31_title,attachment_32_URL,attachment_32_title,attachment_33_URL,attachment_33_title,attachment_34_URL,attachment_34_title,attachment_35_URL,attachment_35_title,attachment_36_URL,attachment_36_title
http://www.communities.gov.uk/publications/communities/letterlastreetparties,Letter to Local Authority Leaders about Street Parties,Letter to local council leaders about street parties,A letter to councils encouraging them to prepare for extra demand for street parties in 2012,"A letter from the Secretary of State for Communities and Local Government to councils, encouraging them to prepare for the extra demand for street parties in 2012 due to the Queen's Diamond Jubilee celebrations and the Olympics.",Free,,12-Jan-12,Circular and official letters,circulars-letters-and-bulletins,,,bringing-people-together-in-strong-united-communities,,,,http://www.communities.gov.uk/documents/communities/pdf/2093396.pdf,Letter to local authority leaders about street parties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/communities/scainvitation2010,Sustainable Communities Act - an invitation to inspire the Big Society,Letter to local council leaders: inspiring the Big Society,Letter to councils asking them to consult their communities on how they would like to improve their local area,"On 15 December 2010, the Department for Communities and Local Government issued an invitation to local authorities under the Sustainable Communities Act 2007. This letter details the invitation, which asks councils to:

 consult their communities on how they would like to improve their local area
 take whatever action they deem appropriate
 ask the government to remove any bureaucratic barrier which is stopping them",Free,,15-Dec-10,Circular and official letters,circulars-letters-and-bulletins,,,giving-people-more-power-over-what-happens-in-their-neighbourhood,making-local-councils-more-transparent-and-accountable-to-local-people,bringing-people-together-in-strong-united-communities,,http://www.communities.gov.uk/documents/localgovernment/pdf/1798823.pdf,Sustainable Communities Act â€“ an invitation to inspire the Big Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/fire/clgcommitteereportfirecontrol,Response to the Department for Communities and Local Government Committee Report on FiReControl,Response to the Department for Communities and Local Government Committee report on FiReControl,This letter is the response to the Department for Communities and Local Government Committee Report on the FiReControl project,This is a letter from the Secretary of State for Communites and Local Government to Mr Clive Betts MP. It is the response to the Department for Communities and Local Government Committee Report on the FiReControl project.,Free,,22-Mar-11,Circular and official letters,circulars-letters-and-bulletins,,,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,,http://www.communities.gov.uk/documents/fire/pdf/1869822.pdf,Response to Communities and Local Government Committee Report on FiReControl letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/fire/consultfirefighterspension,Next Steps: Firefighter pension reforms and employee contributions,Firefighters' pension reforms: intention to consult,Letter outlining the government's intention to consult on raising employee contribution rates for firefighters' pensions,"Following the written minsiterial statement made by the Chief Secretary to the Treasury on 19 July 2011, this letter sets out the Department for Communities and Local Government's intention to consult in August 2011 on proposed increases to employee contribution rates for the firefighters' pension schemes in 2012-13.

This letter also outlines the proposed process for further discussions on the savings to be generated in 2013-14 and 2014-15, and on the wider reforms arising from Lord Hutton's report.",Free,,28-Jul-11,Circular and official letters,circulars-letters-and-bulletins,,,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,,http://www.communities.gov.uk/documents/fire/pdf/1953925.pdf,"Intention to consult, firefighters' pension schemes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/fire/crsandfrsletter,Letter from Fire Minister Bob Neill about the Comprehensive Spending Review and the Fire and Rescue Services,Comprehensive Spending Review and the fire and rescue services: ministerial letter,Ministerial letter about the Comprehensive Spending Review and fire and rescue services,Letter from Fire Minister Bob Neill to the Shadow Minister Chris Williamson about the Comprehensive Spending Review and the Fire and Rescue Services.,Free,,6-Dec-10,Circular and official letters,circulars-letters-and-bulletins,,,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,,http://www.communities.gov.uk/documents/fire/pdf/1792143.pdf,Letter from Fire Minister Bob Neill about the Comprehensive Spending Review and the fire and rescue services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/fire/firedoors,Determination on the suitability and sufficiency of a fire risk assessment in a hotel in respect of the adequacy of the existing bedroom fire doors,Determination: fire risk assessment in a hotel,Determination on a fire risk assessment in a hotel about the adequacy of the existing bedroom fire doors,Determination on the suitability and sufficiency of a fire risk assessment in a hotel in respect of the adequacy of the existing bedroom fire doors.,Free,,9-May-12,Circular and official letters,circulars-letters-and-bulletins,Y,9871409834571,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,,http://www.communities.gov.uk/documents/fire/pdf/2142045.pdf,Determination on the suitability and sufficiency of a fire risk assessment in a hotel in respect of the adequacy of the existing bedroom fire doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/fire/lettersrbnfrs,Letter from Bob Neill to Fire Chairs and Chiefs -  Spending Review and the Fire and Rescue Service,Fire and rescue service: Spending Review settlement,Ministerial letter outlining the financial settlement for the fire and rescue service,"This letter by Fire Minister Bob Neill sets out the settlement for the fire and rescue service, announced as part of the Spending Review of 20 October 2010.",Free,,20-Oct-10,Circular and official letters,circulars-letters-and-bulletins,,,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,,http://www.communities.gov.uk/documents/fire/pdf/1746318.pdf,Letter from Bob Neill to fire chairs and chiefs â€“ Spending Review and the fire and rescue service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/fire/selfclosingdevices,Determination in respect of the use of self-closing devices on bedroom doors in a care home,Determination: self-closing bedroom doors in a care home,Determination about using self-closing devices on bedroom doors in a care home,Determination about using self-closing devices on bedroom doors in a care home.,Free,,19-Jul-11,Circular and official letters,circulars-letters-and-bulletins,Y,9781409830515,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,,http://www.communities.gov.uk/documents/fire/pdf/1946970.pdf,Determination in respect of the use of self-closing devices on bedroom doors in a care home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/amenddeterminations0910,The Housing Revenue Account Subsidy Determination 2009 to 2010 and the Item 8 Credit and Item 8 Debit (General) Determination 2009 to 2010: Amending Determinations 2011,The housing revenue account subsidy determination 2009 to 2010: technical documents,Technical amendments about interest rate calculations for housing borrowing,"The Department for Communities and Local Governement (DCLG) has made a change retrospectively so that the calculation of the consolidated interest rate for housing borrowing continues to exclude all private finance initiatives (PFIs).

This is following the introduction of international financial reporting atandards, which would have brought PFI schemes into the calculations from 1 April 2009. This could have an adverse effect on some areas of local authorities' finances.

DCLG consulted on the change over summer 2010 and it has now been included in these documents.",Free,,28-Feb-11,Circular and official letters,circulars-letters-and-bulletins,Y,9781409828549,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/1853992.pdf,The housing revenue account subsidy determination 2009 to 2010 amending determination 2011,http://www.communities.gov.uk/documents/housing/pdf/1853996.pdf,The item 8 credit and item 8 debit (general) determination 2009 to 2010 amending determination 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/hrasubsidydeterminations1112,The Housing Revenue Account Subsidy and the Item 8 Credit and Item 8 Debit (General) Determinations 2011 to 2012,The housing revenue account subsidy determination 2011 to 2012,The housing revenue account subsidy and item 8 credit and item 8 debit (general) determinations 2011 to 2012.,The housing revenue account subsidy and the item 8 credit and item 8 debit (general) determinations 2011 to 2012 together with supporting papers and explanatory notes.,Free,,10-Jan-11,Circular and official letters,circulars-letters-and-bulletins,Y,9781409827283,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/1813581.pdf,Covering letter to chief finance officers/chief accountants of local housing authorities in England,http://www.communities.gov.uk/documents/housing/pdf/1813584.pdf,The housing revenue account subsidy determination 2011 to 2012,http://www.communities.gov.uk/documents/housing/xls/1813588.xls,HRA subsidy determination 2011-12: data outputs,http://www.communities.gov.uk/documents/housing/pdf/1813600.pdf,Commentary on the housing revenue account subsidy determination 2011 to 2012,http://www.communities.gov.uk/documents/housing/pdf/1813603.pdf,The item 8 credit and item 8 debit (general) determination 2011 to 2012,http://www.communities.gov.uk/documents/housing/pdf/1813614.pdf,Commentary on the item 8 determination for 2011 to 2012,http://www.communities.gov.uk/documents/housing/pdf/1813617.pdf,"Rent rebate subsidy limitation: derogations 2011 to 2012, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
