old_url,title,summary,body,publication_type,policy_1,policy_2,policy_3,policy_4,organisation,document_series,minister_1,minister_2,publication_date,price,order_url,ISBN,URN,command_paper_number,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title,attachment_10_url,attachment_10_title,attachment_11_url,attachment_11_title,attachment_12_url,attachment_12_title,attachment_13_url,attachment_13_title,attachment_14_url,attachment_14_title,attachment_15_url,attachment_15_title,attachment_16_url,attachment_16_title,attachment_17_url,attachment_17_title,attachment_18_url,attachment_18_title,attachment_19_url,attachment_19_title,attachment_20_url,attachment_20_title,attachment_21_url,attachment_21_title,attachment_22_url,attachment_22_title,attachment_23_url,attachment_23_title,attachment_24_url,attachment_24_title,attachment_25_url,attachment_25_title,attachment_26_url,attachment_26_title,attachment_27_url,attachment_27_title,attachment_28_url,attachment_28_title,attachment_29_url,attachment_29_title,attachment_30_url,attachment_30_title,attachment_31_url,attachment_31_title,attachment_32_url,attachment_32_title,attachment_33_url,attachment_33_title,attachment_34_url,attachment_34_title,attachment_35_url,attachment_35_title,attachment_36_url,attachment_36_title,attachment_37_url,attachment_37_title,attachment_38_url,attachment_38_title,attachment_39_url,attachment_39_title,attachment_40_url,attachment_40_title,attachment_41_url,attachment_41_title,attachment_42_url,attachment_42_title
http://www.communities.gov.uk/publications/planningandbuilding/circulardetr072000,The Building Act 1994 the Building Regulations 2000 the Building (Approved Inspectors etc.) Regulations 2000: circular DETR 07/2000,,"Circular 07/2000 gives notice of the changes being brought into effect on 1 January 2001. This Circular draws attention to the following Statutory Instruments:
The Building Regulations 2000 (S.I. 2000/2531), and
The Building (Approved Inspectors etc.) Regulations 2000 (S.I. 2000/2532)

The purpose of this Circular is to explain the changes in these Regulations and to notify building control bodies of certain approvals. There are no substantive changes in the functional requirements in Schedule 1 to the Building Regulations, and no changes in the guidance on those functional requirements contained in the Approved Documents.",circulars-letters-and-bulletins,providing-effective-building-regulations-so-that-new-and-altered-buildings-are-safe-accessible-and-efficient,,,,department-for-communities-and-local-government,,,,13-Oct-2000,Free,,,117535591,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/133130.pdf,DETR Circular 07/2000 - dated 13 October 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/dtlrcircular,The Building (Amendment) Regulations 2001 and The Building (Approved Inspectors etc) (Amendment) Regulations 2001: DTLR Circular 03/2001,,"The purpose of this circular is to draw attention to these amendment regulations and explain the changes they make to the Building Act 1984, to the Building Regulations 2000 (the Building Regulations) and to the Building (Approved Inspectors etc) Regulations 2000 (the AI Regulations). Explain the transitional provisions; including announcing the approval and publication of four new Approved Documents; and recommend certain action by Building Control Bodies (BCBs).",circulars-letters-and-bulletins,providing-effective-building-regulations-so-that-new-and-altered-buildings-are-safe-accessible-and-efficient,,,,department-for-communities-and-local-government,,,,31-Oct-2001,Free,,,117536245,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/154539.pdf,DTLR Circular 03/2001 - dated 31 October 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/circularodpmenforcement,Enforcement appeals procedure: circular 02/2002 (ODPM),,"This Circular explains the new procedures for handling enforcement appeals in England, which are being introduced with effect from 23 December 2002. These procedures apply to enforcement appeals received on or after that date.

This is a priced publication available from TSO (The Stationery Office), PO Box 29, Norwich NR3 1GN. Order through the Parliamentary Hotline (Lo-call): 08457 023 474, fax: 0870 600 5533, textphone 0870 240 3701, email: book.orders@tso.co.uk or visit www.tsoshop.co.uk to buy online.",circulars-letters-and-bulletins,making-the-planning-system-work-more-efficiently-and-effectively,,,,department-for-communities-and-local-government,,,,1-Nov-2002,£5.75 (free to download),,,117536393,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/155847.pdf,Circular 02/02 (ODPM): Enforcement appeals procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/circularodpm032002,Sound insulation testing: circular ODPM 03/2002,,"This circular draws attention to the Building (Amendment) (No. 2) Regulations 2002 (SI 2002/2871) and the Building (Approved Inspectors etc.) (Amendment) Regulations 2002 (SI 2002/2872).

The purpose of this Circular is to:
draw attention to these Amendment Regulations and explain the changes they make to the Building Regulations 2000 (the Building Regulations) and to the Building (Approved Inspectors etc.) Regulations 2000 (the Approved Inspectors Regulations);
explain the coming into force and transitional provisions;
announce the approval and publication of new Approved Document Part E and a document containing amendments to Approved Document Part B; and,
draw attention to action for building control bodies in relation to selection of buildings for sound insulation testing.",circulars-letters-and-bulletins,making-the-planning-system-work-more-efficiently-and-effectively,,,,department-for-communities-and-local-government,,,,19-Dec-2002,Free,,,117536458,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/133127.pdf,ODPM Circular 03/2002 - dated 19 December 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/circularodpm122003,"The Building Act 1984, The Building (Repeal of Provisions of Local Acts) Regulations 2003: circular ODPM 12/2003",,This Circular letter draws attention to the Building (Repeal of Provisions of Local Acts) Regulations 2003 (SI 2003/3030) which were made on 24 November 2003 and which come into force on 1 March 2004.,circulars-letters-and-bulletins,providing-effective-building-regulations-so-that-new-and-altered-buildings-are-safe-accessible-and-efficient,,,,department-for-communities-and-local-government,,,,10-Dec-2003,Free,,,117539082,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/717785.pdf,ODPM Circular 12/2003: The Building Act 1984 - The Building (Repeal of Provisions of Local Acts) Regulations 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/circularodpm042004,New Approved Documents: circular ODPM 04/2004,,"This Circular letter draws attention to the Building (Amendment) Regulations 2004 Statutory Instruments (SI 2004/1465), and to the Building (Approved Inspectors etc.) (Amendment) Regulations 2004 (SI 2004/1466) which were made on 28 May 2004.

Some provisions of SI 2004/1465, and the whole of SI 2004/1466, come into force on 1 July 2004. Other provisions of SI 2004/1465, relating to Regulation 6 and Schedule 1 Parts A, C and F of the Building Regulations, come into force on 1 December 2004, in accordance with the transitional provisions referred to in paragraph 20 of this Circular.",circulars-letters-and-bulletins,providing-effective-building-regulations-so-that-new-and-altered-buildings-are-safe-accessible-and-efficient,,,,department-for-communities-and-local-government,,,,28-Jun-2004,Free,,,117539163,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/133124.pdf,ODPM Circular 4/2004 - dated 29 June 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/circularodpm052004,New Approved Document on electrical safety: circular ODPM 05/2004,,"This Circular document draws attention to the Building (Amendment) (No. 2) Regulations 2004 (S.I. 2004/1808) which were made on 13 July 2004. The provisions will come into force on 1 January 2005, subject to the transitional provisions referred to in paragraph 14 of this Circular.

The purpose of this Circular is to:
draw attention to these amendment Regulations and explain the changes they make to the Building Regulations 2000 (the Building Regulations);
explain the coming into force and transitional provisions;
announce the provisions for self-certification; and,
announce the approval and publication of a new Approved Document P (electrical safety).",circulars-letters-and-bulletins,providing-effective-building-regulations-so-that-new-and-altered-buildings-are-safe-accessible-and-efficient,,,,department-for-communities-and-local-government,,,,29-Jul-2004,Free,,,117539228,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/133121.pdf,ODPM Circular 05/2004 - dated 29 July 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/circularodpm082004,The Building (Amendment) (No.3) Regulations 2004: circular ODPM 08/2004,,"The purpose of this Circular is to:
announce that the Building (Amendment) (No.2) Regulations 2004 have been revoked in their entirety but re-enacted, with minor alterations, in the Building (Amendment) (No.3) Regulations 2004;
draw attention to these Amendment Regulations and explain the changes they make to the Building Regulations 2000 (""the Building Regulations"");
announce further provisions for self-certification; and,
announce the approval and publication of an amendment to Approved Document P.",circulars-letters-and-bulletins,providing-effective-building-regulations-so-that-new-and-altered-buildings-are-safe-accessible-and-efficient,,,,department-for-communities-and-local-government,,,,31-Dec-2004,Free,,,117539376,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/1839365.pdf,Circular ODPM 08/2004: The Building (Amendment) (No.3) Regulations 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/circularodpm042005,Amendments to Approved Document L1 on conservation of fuel and power: circular ODPM 04/2005,,"This Circular draws attention to amendments to Approved Document L1. The Amendments, which were approved on 21 March 2005, come into effect on 1 April 2005, subject to the transitional provisions referred to in paragraph 10 of this Circular.

The amendments have been made in pursuit of the Government's commitments made in the Energy White Paper and at the Better Building Summit, after consultation with bodies representative of the interests concerned.",circulars-letters-and-bulletins,providing-effective-building-regulations-so-that-new-and-altered-buildings-are-safe-accessible-and-efficient,,,,department-for-communities-and-local-government,,,,1-Apr-2005,Free,,,117539473,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/133115.pdf,ODPM Circular 04/2005: Amendments to Approved Document L1 (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/circularodpmplanning2,Planning inquiries into major infrastructure projects: economic impact reports: circular ODPM 04/2006,,"This Circular offers guidance to local planning authorities (LPAs) and Government Offices on advising applicants who may have to prepare an economic impact report (EIR) as a result of a planning application being designated a major infrastructure project (MIP) by the Secretary of State.

This is a priced publication available from TSO (The Stationery Office), PO Box 29, Norwich NR3 1GN. Order through the Parliamentary Hotline (Lo-call): 08457 023 474, fax: 0870 600 5533, textphone 0870 240 3701, email: book.orders@tso.co.uk or visit www.tsoshop.co.uk to buy online.",circulars-letters-and-bulletins,making-the-planning-system-work-more-efficiently-and-effectively,,,,department-for-communities-and-local-government,,,,23-Mar-2006,£6 (free to download),,,117539627,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/144755.pdf,Circular 04/06 (ODPM): Planning Inquiries Into Major Infrastructure Projects: Economic Impact Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
