old_url,ignoreoldtitle,title,summary,body,price,ignoreorderingdetails,publication_date,ignore old type,publication_type,ignoredg,ISBN,policy_1,policy_2,policy_3,policy_4,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title,attachment_10_url,attachment_10_title,attachment_11_url,attachment_11_title,attachment_12_url,attachment_12_title,attachment_13_url,attachment_13_title,attachment_14_url,attachment_14_title,attachment_15_url,attachment_15_title,attachment_16_url,attachment_16_title,attachment_17_url,attachment_17_title,attachment_18_url,attachment_18_title,attachment_19_url,attachment_19_title,attachment_20_url,attachment_20_title,attachment_21_url,attachment_21_title,attachment_22_url,attachment_22_title,attachment_23_url,attachment_23_title,attachment_24_url,attachment_24_title,attachment_25_url,attachment_25_title,attachment_26_url,attachment_26_title,attachment_27_url,attachment_27_title,attachment_28_url,attachment_28_title,attachment_29_url,attachment_29_title,attachment_30_url,attachment_30_title,attachment_31_url,attachment_31_title,attachment_32_url,attachment_32_title,attachment_33_url,attachment_33_title,attachment_34_url,attachment_34_title,attachment_35_url,attachment_35_title,attachment_36_url,attachment_36_title,organisation
http://www.communities.gov.uk/publications/housing/homelesssixteenseventeen,Provision of accommodation for 16 and 17 year old young people who may be homeless and/or require accommodation,Provision of accommodation for 16 and 17 year olds who may be homeless and/or require accommodation,,"Statutory guidance was issued on 1 April 2010 to local authorities jointly by the Secretary of State for Children, Schools and Families and the Secretary of State for Communities and Local Government. It provides revised guidance for children's services authorities and local housing authorities about their respective duties under Part 3 of the Children Act 1989 and Part 7 of the Housing Act 1996 to secure or provide accommodation for homeless 16 and 17 year old children, following the judgment by the House of Lords in the case of R(G) v London Borough of Southwark (2009).",Free,,2010-04-01,Good practice and guidance,guidance,,,providing-housing-support-for-older-and-vulnerable-people,,,,https://www.education.gov.uk/publications/eOrderingDownload/Provision%20of%20accommodation.pdf,Provision of accommodation for 16 and 17 year old young people who may be homeless and/or require accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/recordinghomelessnessprevention,Recording Homelessness Prevention and relief at E10 of the P1E Quarterly Return: Further guidance for local housing authorities,Recording homelessness prevention and relief,,"This note provides further non-statutory guidance for local housing authorities on how to record for the P1E quarterly return cases where homelessness is prevented or relieved. It supplements the guidance issued by the Department for Communities and Local Government in April 2008, and has been produced to coincide with the publication of the first set of data on local authority performance on preventing and relieving homelessness, taken from the P1E returns. This guidance is also likely to be helpful for local authorities' partner organisations.",Free,,2009-12-14,Good practice and guidance,guidance,,9781409821182,providing-housing-support-for-older-and-vulnerable-people,,,,http://www.communities.gov.uk/documents/housing/pdf/1412030,Recording Homelessness Prevention and relief at E10 of the P1E Quarterly Return: Further guidance for local housing authorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/reducingtherisks,Reducing the risks - The Housing Health and Safety Rating System,Reducing the risks: the housing health and safety rating system,,"The housing health and safety rating system is a new risk assessment tool used to assess potential risks to the health and safety of occupants in residential properties in England and Wales. The legislation came into effect in England on 6 April 2006 and will come into effect in Wales later in 2006.

The new assessment method focuses on the hazards that are present in housing. Tackling these hazards will make housing healthier and safer to live in.",Free,,2008-04-07,Manuals leaflets and booklets,guidance,,,improving-the-rented-housing-sector,providing-housing-support-for-older-and-vulnerable-people,,,http://www.communities.gov.uk/documents/housing/pdf/144527.pdf,Reducing the risks - The Housing Health and Safety Rating System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/regulatoryimpactassessment2,Regulatory Impact Assessment: Housing Act 2004 - Part 1: Housing Conditions,Regulatory impact assessment of the housing health and safety rating system,,This document assesses the costs and benefits of the new housing health and safety rating system regime in Part 1 of the Housing Act 2004.,Free,,2005-11-28,Legislation and policy,policy-papers,,,improving-the-rented-housing-sector,providing-housing-support-for-older-and-vulnerable-people,,,http://www.communities.gov.uk/documents/housing/pdf/142964.pdf,Regulatory Impact Assessment: Housing Act 2004 Part 1: Housing Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/residentchoiceguidance,"Residents choice: Guidance on tenant management and other options supported
through the Tenant Empowerment Programme",Tenant empowerment programme: guidance,,This handbook gives guidance to residents living in social housing who are considering taking control of housing and related services. It looks at how residents can get advice and consider their choices for having more influence over services in their neighbourhood. It explains how to setup a tenant management organisation or negotiate a local management agreement.,Free,,2008-10-01,Reports and summaries,guidance,,9781409805441,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/residentchoiceguidance.pdf,Residents' choice: Guidance on tenant management and other options supported through the Tenant Empowerment Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/housingmanagementagreements,Section 27 of The Housing Act 1985: The General Approval for Housing Management Agreements 2009,Section 27 of The Housing Act 1985: The General Approval for Housing Management Agreements 2009,,General approval for housing management agreements,Free,,2009-02-23,Circular and official letters,circulars-letters-and-bulletins,,,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/1154341,Section 27 of The Housing Act 1985: The General Approval for Housing Management Agreements 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/housingfraudtoolkit,Social Housing Fraud Communications Toolkit,Social housing fraud campaign materials,,"To help deliver the campaign locally Communities and Local Government have produced a marketing toolkit for local authorities and social housing landlords.

The toolkit contains template leaflets and posters that are fully adaptable to include landlord's logos and contact details. Amending, printing and distribution of the marketing materials are the responsibility of the social housing landlord. Examples of the toolkit posters and leaflets are available for download below.

Adobe InDesign formats are required to adapt the leaflets and posters for local use. If you are a local authority or social housing landlord you may order the free InDesign format disk of the toolkit, by quoting: the product code (listed above), your name, your organisation and your delivery address.

This publication is available free of charge from Communities and Local Government Publications, Cambertown House, Goldthorpe Industrial Estate, Rotherham S63 9BL. Tel: 0300 123 1124, fax: 0300 123 1125, email: product@communities.gsi.gov.uk. Please quote the product code when ordering. Delivery will be 5 to 7 days from receipt of order. A maximum quantity restriction may apply. For an enquiry about your order please contact customer services on 0300 123 1124, open Monday to Friday 08:00 – 18:00.",Free,,2009-11-30,Manuals leaflets and booklets,guidance,,9781409820536,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/1396682.pdf,Social Housing Fraud Communications Toolkit,http://www.communities.gov.uk/documents/housing/pdf/1396519.pdf,Help Stop Housing Cheats (poster),http://www.communities.gov.uk/documents/housing/pdf/1396574.pdf,Help Stop Housing Cheats (leaflet),http://www.communities.gov.uk/documents/housing/pdf/1396633.pdf,Blow the whistle on housing cheats (poster),http://www.communities.gov.uk/documents/housing/pdf/1396656.pdf,Blow the whistle on housing cheats (leaflet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/supplementmanaging,Supplement to 'Managing Unauthorised Camping: A Good Practice Guide',Managing unauthorised camping: guidance supplement,,"The good practice guide Managing Unauthorised Camping was originally published in February 2004. It was intended to be updated when consultation on the new provisions introduced in the Anti-social Behaviour Act 2003 (amending the Criminal Justice and Public Order Act 1994) was complete. This consultation has now ended, and this supplement provides guidance on the new provisions.",Free,,2004-03-07,Good practice and guidance,guidance,,,making-the-planning-system-work-more-efficiently-and-effectively,,,,http://www.communities.gov.uk/documents/housing/pdf/138829.pdf,Supplement to the Guidance on Managing Unauthorised Camping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/supplement,Supplement to the Guidance on Arms Length Management,Arms length management: guidance supplement,,"This is a supplement to the Guidance on the Arms Length Management Organisation (ALMO) option for local authorities that wish to improve their housing management services and seek additional resources to invest in bringing their housing stock up to the decent homes standard.

The guidance was issued by the Office of the Deputy Prime Minister in October 2004 and continues to cover the key policy and operational features of ALMOs, setting out the criteria for bids for additional resources in Round 6 of the programme.",Free,,2006-06-07,Good practice and guidance,guidance,,,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/144836.pdf,Supplement to the Guidance on Arms Length Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/supplement2,Supplement to the Housing Transfer Manual - 2006 Programme,Housing transfer manual supplement,,"Section and paragraph numbers in this supplement indicate where the additional or amended guidance fits into the Housing Transfer Manual 2005 Programme, ODPM October 2004 Product code 04HC02613. ",Free,,2006-06-07,Manuals leaflets and booklets,guidance,,,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/145034.pdf,Supplement to the Housing Transfer Manual - 2006 Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
