old_url,title,summary,body,ignore opendate,opening_date,ignore close date,closing_date,consultation isbn,organisation,policy_1,policy_2,policy_3,policy_4,response_1_url,response_1_title,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title,attachment_10_url,attachment_10_title,attachment_11_url,attachment_11_title,attachment_12_url,attachment_12_title,attachment_13_url,attachment_13_title,attachment_14_url,attachment_14_title,attachment_15_url,attachment_15_title,attachment_16_url,attachment_16_title,attachment_17_url,attachment_17_title,attachment_18_url,attachment_18_title,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore,ignore
http://www.communities.gov.uk/publications/localgovernment/counciltaxempty,Technical reforms to Council Tax: caluclating the Council Tax base with the empty homes premium,Consultation about how the Council Tax empty homes premium is to be included in the calculation of the Council Tax base.,This consultation sets out the government's proposals on how the Council Tax empty homes premium is to be included in the calculation of the Council Tax base.,11 September 2012,11-Sep-2012,22 October 2012,22-Oct-2012,9781409836438,department-for-communities-and-local-government,making-sure-council-tax-payers-get-good-value-for-money,,,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/2214517.pdf,Technical reforms to Council Tax: empty homes premium: calculation of Council tax base consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Sep-2012,22-Oct-2012
http://www.communities.gov.uk/publications/fire/guidanceonstatementsofassurance,Guidance on statements of assurance for fire and rescue authorities in England,Consultation on guidance on statements of assurance for fire and rescue authorities in England.,"Consultation on guidance on statements of assurance for fire and rescue authorities in England.

The consultation seeks views on 'light-touch' guidance on statements of assurance for fire and rescue authorities in England",20 September 2012,20-Sep-2012,15 November 2012,15-Nov-2012,9781409836308,department-for-communities-and-local-government,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,,,,http://www.communities.gov.uk/documents/fire/pdf/2219707,Guidance on statements of assurance for fire and rescue authorities in England consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-Sep-2012,15-Nov-2012
http://www.communities.gov.uk/publications/fire/governmentprotocol,Protocol on government intervention action on fire and rescue authorities in England,Consultation about revising the protocol on government intervention action for fire and rescue authorities in England.,"Consultation on guidance on statements of assurance for fire and rescue authorities in England and Protocol on Government intervention action for fire and rescue authorities in England.

The consultation seeks views on the revision of the protocol on Government intervention action and applies to fire and rescue authorities in England only.",20 September 2012,20-Sep-2012,15 November 2012,15-Nov-2012,9781409836315,department-for-communities-and-local-government,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,,,,http://www.communities.gov.uk/documents/fire/pdf/2219724,Protocol on government intervention action on fire and rescue authorities in England consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-Sep-2012,15-Nov-2012
http://www.communities.gov.uk/publications/planningandbuilding/searevocationyorkshire,Strategic environmental assessment about revoking the Yorkshire and the Humber regional strategy: environmental report,Consultation document on the likely significant environmental effects of revoking  the Yorkshire and Humber Plan and the regional economic strategy.,"This environmental report is a consultation document on the likely significant environmental effects of revoking the Yorkshire and Humber Plan and the regional economic strategy (which together form the regional strategy).

This report succeeds the previous environmental report for the revocation of the Yorkshire and Humber Regional Strategy which was consulted on between October 2011 and January 2012. It is a standalone document that is intended to give reader an up-to-date comprehensive assessment of the environmental effects of the revocation of the Yorkshire and Humber Plan and the Regional Economic Strategy without the need to refer back to the previous environmental report.

At the end of the period all consultation responses will be considered, including those already submitted during the earlier response period. Responses are invited on all aspects of the report and proposal including the supporting appendices.

**Please note**: Due to the size of the documents this publication can also be supplied on a compact disc. Please email requests to the [Environmental Assessment Team](mailto:SEAConsultation@communities.gsi.gov.uk).

##How to respond

###Email us
[SEAConsultation@communities.gsi.gov.uk](mailto:SEAConsultation@communities.gsi.gov.uk)

###Write to us
$A
Environmental Assessment Team
Department for Communities and Local Government
Zone 1/J6
Eland House
Bressenden Place
London
SW1E 5DU
$A

###Call us
0303 444 1654",28 September 2012,28-Sep-2012,26 November 2012,26-Nov-2012,9781409836124,department-for-communities-and-local-government,improving-the-energy-efficiency-of-buildings-and-using-planning-to-protect-the-environment,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2205270.pdf,Strategic Environmental Assessment of the Revocation of the Yorkshire and the Humber Regional Strategy: Environmental Report,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2205273.pdf,Strategic Environmental Assessment of the Revocation of the Yorkshire and the Humber Regional Strategy: Appendix A,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2205276.pdf,Strategic Environmental Assessment of the Revocation of the Yorkshire and the Humber Regional Strategy: Appendix B,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2205279.pdf,Strategic Environmental Assessment of the Revocation of the Yorkshire and the Humber Regional Strategy: Appendix C,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2205282.pdf,Strategic Environmental Assessment of the Revocation of the Yorkshire and the Humber Regional Strategy: Appendix D,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2205309.pdf,Strategic Environmental Assessment of the Revocation of the Yorkshire and the Humber Regional Strategy: Appendix E,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2205288.pdf,Strategic Environmental Assessment of the Revocation of the Yorkshire and the Humber Regional Strategy: Appendix F,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2205291.pdf,Strategic Environmental Assessment of the Revocation of the Yorkshire and the Humber Regional Strategy: Appendix G,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2205294.pdf,Strategic Environmental Assessment of the Revocation of the Yorkshire and the Humber Regional Strategy: Appendix H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-Sep-2012,26-Nov-2012
http://www.communities.gov.uk/publications/localgovernment/emptyhomespremium,Technical reforms to Council Tax: when dwellings should not be liable to the empty homes premium,Consultation about the government's proposals on homes that should not be charged the empty homes premium.,"The Local Government Finance Bill includes provisions that will allow a billing authority to charge an empty homes premium to provide a stronger incentive to get homes back into productive use and remove the blight of such properties on local neighbourhoods.

The premium was subject to a consultation, 'Technical Reforms to Council Tax', which ended on 29 December 2011. The government published its response on 28 May 2012, which confirmed its intention to proceed with the premium and stated that:

* it will not be payable until a dwelling has been empty and unfurnished for 2 years
* the maximum premium that an authority will be able to charge will be 50%

This consultation seeks views on the government's proposals on exceptions to the premium: dwellings which may otherwise be liable for the premium, but which are subject to circumstances that mean that it would not be appropriate for it to apply.",28 September 2012,28-Sep-2012,9 November 2012,9-Nov-2012,9781409836599,department-for-communities-and-local-government,making-sure-council-tax-payers-get-good-value-for-money,,,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/2226241.pdf,Technical Reforms to Council Tax: Determining the circumstances in which dwellings should not be liable to the empty homes premium - Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-Sep-2012,09-Nov-2012
http://www.communities.gov.uk/publications/housing/hcamiltonkeynestransfer,Proposed transfer of Homes and Communities Agency functions and assets to Milton Keynes Council,Consultation about transferring some planning functions from the Homes and Communities Agency to Milton Keynes Council.,"Following a request by Milton Keynes Council to take greater strategic control of growth and delivery in their area, they asked to acquire full control of planning functions. Currently the Homes and Community Agency is responsible for considering certain types of planning applications for specific areas of Milton Keynes (mainly the areas designated as 'expansion areas').

While there are many strands to this transfer package, this document seeks views on the transfer of those planning functions back to Milton Keynes Council only.",2 October 2012,2-Oct-2012,29 October 2012,29-Oct-2012,,department-for-communities-and-local-government,giving-communities-more-power-in-planning-local-development,,,,,,http://www.communities.gov.uk/documents/housing/pdf/2228686.pdf,Proposed transfer of Homes and Communities Agency functions and assets to Milton Keynes Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-Oct-2012,29-Oct-2012
http://www.communities.gov.uk/publications/fire/pensionsconsultation,Amendments to the new firefighters' pension scheme 2006: automatic enrolment,"Consultation about amendments to firefighters' pensions, to comply with pension reforms on automatic enrolment.","This consultation covers amendments to the new firefighters' pension scheme (England), as set out in the Firefighters' Pension Scheme (England) Order 2006.

This is so that fire and rescue authorities can comply with their duties for automatic enrolment under workplace pension reform.",10 October 2012,10-Oct-2012,7 November 2012,7-Nov-2012,9781409836575,department-for-communities-and-local-government,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,,,,http://www.communities.gov.uk/documents/fire/pdf/2232760.pdf,Amendments to the new firefighters' pension scheme 2006 consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Oct-2012,07-Nov-2012
http://www.communities.gov.uk/publications/planningandbuilding/searevocationsoutheast,Strategic environmental assessment about revoking the South East regional strategy: environmental report,Consultation document on the likely significant environmental effects of revoking  the South East Plan and the regional economic strategy.,"This environmental report is a consultation document on the likely significant environmental effects of revoking the South East Plan and the regional economic strategy (which together form the regional strategy).

This report succeeds the previous environmental report for the revocation of the South East Plan which was consulted on between October 2011 and January 2012. It is a standalone document that is intended to give reader an up-to-date comprehensive assessment of the environmental effects of the revocation of the South East Plan and the Regional Economic Strategy without the need to refer back to the previous environmental report.

At the end of the period all consultation responses will be considered, including those already submitted during the earlier response period. Responses are invited on all aspects of the report and proposal including the supporting appendices. This includes whether or not to retain the Oxfordshire structure plan policy H2, covering development at Upper Heyford, until a revised plan is adopted by the relevant local planning authority (Cherwell District Council).

**Please note**: Due to the size of the documents this publication can also be supplied on a compact disc. Please email requests to the [Environmental Assessment Team](mailto:SEAConsultation@communities.gsi.gov.uk).

##How to respond

###Email us
[SEAConsultation@communities.gsi.gov.uk](mailto:SEAConsultation@communities.gsi.gov.uk)

###Write to us
$A
Environmental Assessment Team
Department for Communities and Local Government
Zone 1/J6
Eland House
Bressenden Place
London
SW1E 5DU
$A

###Call us
0303 444 1654",11 October 2012,11-Oct-2012,6 December 2012,6-Dec-2012,,department-for-communities-and-local-government,improving-the-energy-efficiency-of-buildings-and-using-planning-to-protect-the-environment,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2233600.pdf,Strategic Environmental Assessment of the Revocation of the South East Regional Strategy: Environmental Report,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2233606.pdf,Strategic Environmental Assessment of the Revocation of the South East Regional Strategy: Environmental Report - Appendix A,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2233615.pdf,Strategic Environmental Assessment of the Revocation of the South East Regional Strategy: Environmental Report - Appendix B,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2233619.pdf,Strategic Environmental Assessment of the Revocation of the South East Regional Strategy: Environmental Report - Appendix C,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2233624.pdf,Strategic Environmental Assessment of the Revocation of the South East Regional Strategy: Environmental Report - Appendix D,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2233630.pdf,Strategic Environmental Assessment of the Revocation of the South East Regional Strategy: Environmental Report - Appendix E,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2233637.pdf,Strategic Environmental Assessment of the Revocation of the South East Regional Strategy: Environmental Report - Appendix F,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2233646.pdf,Strategic Environmental Assessment of the Revocation of the South East Regional Strategy: Environmental Report - Appendix G,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2233649.pdf,Strategic Environmental Assessment of the Revocation of the South East Regional Strategy: Environmental Report - Appendix H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Oct-2012,06-Dec-2012
http://www.communities.gov.uk/publications/planningandbuilding/searevocationeastmidlands,Strategic environmental assessment about revoking the East Midlands regional strategy: environmental report,Consultation document on the likely significant environmental effects of revoking  the East Midlands Plan and the regional economic strategy.,"This environmental report is a consultation document on the likely significant environmental effects of revoking the East Midlands Plan and the regional economic strategy (which together form the regional strategy).

This report succeeds the previous environmental report for the revocation of the East Midlands Plan which was consulted on between October 2011 and January 2012. It is a standalone document that is intended to give reader an up-to-date comprehensive assessment of the environmental effects of the revocation of the East Midlands Regional Plan and the Regional Economic Strategy without the need to refer back to the previous environmental report.

At the end of the period all consultation responses will be considered, including those already submitted during the earlier response period. Responses are invited on all aspects of the report and proposal including the supporting appendices.

**Please note**: Due to the size of the documents this publication can also be supplied on a compact disc. Please email requests to the [Environmental Assessment Team](mailto:SEAConsultation@communities.gsi.gov.uk).

##How to respond

###Email us
[SEAConsultation@communities.gsi.gov.uk](mailto:SEAConsultation@communities.gsi.gov.uk)

###Write to us
$A
Environmental Assessment Team
Department for Communities and Local Government
Zone 1/J6
Eland House
Bressenden Place
London
SW1E 5DU
$A

###Call us
0303 444 1654",23 October 2012,23-Oct-2012,19 December 2012,19-Dec-2012,,department-for-communities-and-local-government,improving-the-energy-efficiency-of-buildings-and-using-planning-to-protect-the-environment,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2241709.pdf,Strategic Environmental Assessment of the Revocation of the East Midlands Regional Strategy: Environmental Report,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2241725.pdf,Strategic Environmental Assessment of the Revocation of the East Midlands Regional Strategy: Appendix A,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2241729.pdf,Strategic Environmental Assessment of the Revocation of the East Midlands Regional Strategy: Appendix B,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2241736.pdf,Strategic Environmental Assessment of the Revocation of the East Midlands Regional Strategy: Appendix C,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2241752.pdf,Strategic Environmental Assessment of the Revocation of the East Midlands Regional Strategy: Appendix D,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2241776.pdf,Strategic Environmental Assessment of the Revocation of the East Midlands Regional Strategy: Appendix E,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2241779.pdf,Strategic Environmental Assessment of the Revocation of the East Midlands Regional Strategy: Appendix F,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2241788.pdf,Strategic Environmental Assessment of the Revocation of the East Midlands Regional Strategy: Appendix G,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2241792.pdf,Strategic Environmental Assessment of the Revocation of the East Midlands Regional Strategy: Appendix H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Oct-2012,19-Dec-2012
http://www.communities.gov.uk/publications/localgovernment/businessratesdraftregs,Business rates retention draft regulations,Consultation about drafts of the main regulations that will underpin the business rates retention scheme.,"This consultation invites comments on drafts of the main regulations that will underpin the business rates retention scheme.

The publication of these regulations in draft is intended to give local authorities and interested parties further clarity about the detailed implementation of the scheme, and the opportunity to comment on the draft regulations to help ensure they work as intended.

##How to respond

###Email us
[brrtechnicalconsultation@communities.gsi.gov.uk](mailto:brrtechnicalconsultation@communities.gsi.gov.uk)

###Write to us
$A
Victoria Jones
Department for Communities and Local Government
Zone 5/D1
Eland House
Bressenden Place
London
SW1E 5DU
$A

###Call us
0303 444 2585",25 October 2012,25-Oct-2012,23 November 2012,23-Nov-2012,9781409836773,department-for-communities-and-local-government,giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area,,,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/2243458.pdf,Business rates retention draft regulations consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Oct-2012,23-Nov-2012
