status,old_url,title,summary,body,publication_type,policy_1,policy_2,document_series,organisation,publication_date,ignoredate,isbn,urn,command_paper_number,i,jsonattach
new,http://www.dft.gov.uk/publications/a5m1-link-dunstable-northern-bypass,A5/M1 Link Dunstable Northern Bypass,The Secretaries' of State interim decision letter on Highways Orders following local inquiry and the inspector's report on the A5-M1 Link Dunstable Northern Bypass.,"## Summary

The Secretaries' of State interim decision letter on Highways Orders following local inquiry and the inspector's report on the A5-M1 Link Dunstable Northern Bypass.

  * [Decision letter](http://assets.dft.gov.uk/publications/a5m1-dunstable-norther-bypass/decision-letter.pdf)
  * [Inspector report](http://assets.dft.gov.uk/publications/a5m1-dunstable-norther-bypass/inspector-report.pdf)",circulars-letters-and-bulletins,managing-improving-and-investing-in-the-road-network,,highways-orders-inspectors-reports-and-decision-letters,department-for-transport,19-Oct-2012,2012-10-19,,,,175,"[{""link"": ""http://assets.dft.gov.uk/publications/a5m1-dunstable-norther-bypass/decision-letter.pdf"", ""title"": ""Decision letter""}, {""link"": ""http://assets.dft.gov.uk/publications/a5m1-dunstable-norther-bypass/inspector-report.pdf"", ""title"": ""Inspector report""}]",401
new,http://www.dft.gov.uk/publications/accountability-system-statement,Accountability system statement,The Department for Transport's accountability system statement.,"## Summary

The Department for Transport's accountability system statement explains how the Accounting Officer will meet their responsibilities in relation to grants to local government.

## Download documents

  * [Accountability System Statement (PDF, 80KB)](http://assets.dft.gov.uk/publications/accountability-system-statement/accountability-system-statement.pdf)",guidance,improving-local-transport,,,department-for-transport,24-Sep-2012,2012-09-24,,,,176,"[{""link"": ""http://assets.dft.gov.uk/publications/accountability-system-statement/accountability-system-statement.pdf"", ""title"": ""Accountability System Statement (PDF \u2013 80KB)""}]",367
new,http://www.dft.gov.uk/publications/advertising,Transport Direct advertising,About Transport Direct advertising.,"## Overview

Transport Direct's main area of advertising has been through online display advertising and search engines such as Google. Since 2005 Transport Direct has run advertising campaigns using two online elements - online search and display advertising. Currently we are not running a campaign due to Government-wide moratorium on marketing and advertising activities.

## Follow us

Get the latest travel news alerts and find out about Transport Direct developments by connecting with us on [Facebook](http://www.facebook.com/pages/Transport-Direct-Journey-Planner/174434289241225) and [Twitter](http://twitter.com/tdinfo).

## Exhibitions

Transport Direct is keen to promote Transport Direct at conferences and local events.

Transport Direct has exhibited at:

  * Ideal Home Show
  * Times Destination Shows
  * Glasgow Travel Show
  * Various trade shows

Please contact the Business Services Team: [tdportal.business@dft.gsi.gov.uk](mailto:tdportal.business@dft.gsi.gov.uk)

## Local Government

A link to the Transport Direct website is currently advertised on the majority of Local Authority websites. There are opportunities, indeed there already has been, for Transport Direct to be advertised on local transport policies like leaflets, wallet cards and at various roadshows. We would welcome any opportunities to promote Transport Direct through local regions.

Please contact the Business Services Team to discuss this further: [tdportal.business@dft.gsi.gov.uk](mailto:tdportal.business@dft.gsi.gov.uk)

## Marketing Materials Available

Transport Direct items that are available free of charge to both promote Transport Direct and provide travel information to the public.

Items available are:

  * Travel card wallet holder
  * Transport Direct Pen
  * Transport Direct Leaflet

We also have a number of posters available in A2, A3, A4, and Double Royal. Poster designs available are:

  * Find all those places that are impossible to find
  * Go somewhere you've never been and still know where you're going
  * ""I got lost"" is no longer a valid excuse

If you would like to order or receive a free sample of any of the above items free of charge then please contact [tdportal.business@dft.gsi.gov.uk](mailto:tdportal.business@dft.gsi.gov.uk)",guidance,improving-local-transport,,background-to-transport-direct,department-for-transport,29-Jun-2007,2007-06-29,,,,3,[],2267
new,http://www.dft.gov.uk/publications/bexhill-to-hastings-link-road,Bexhill to Hastings Link Road,Decision letter and inspector report for the Bexhill to Hastings Link Road.,"## Summary

The decision letter conveys the Secretary of State's decision on the East Sussex County Council (Bexhill to Hastings Link Road) Side Roads Order and Compulsory Purchase Order.

The inspectors report is that of the Inspector who held Inquiries into the objections to the orders.

## Download the letter

  * [Local authority orders decision letter on Bexhill to Hastings Link Road (PDF, 46 KB)](http://assets.dft.gov.uk/publications/bexhill-to-hastings-link-road/decision-letter.pdf)

## Local authority orders public inquiry inspectors report

  * [Report:Bexhill to Hastings Link Road (PDF, 900 KB)](http://assets.dft.gov.uk/publications/bexhill-to-hastings-link-road/inspector-report.pdf)",circulars-letters-and-bulletins,managing-improving-and-investing-in-the-road-network,,local-authority-orders-inspectors-reports-and-decision-letters,department-for-transport,24-Sep-2012,2012-09-24,,,,177,"[{""link"": ""http://assets.dft.gov.uk/publications/bexhill-to-hastings-link-road/decision-letter.pdf"", ""title"": ""Local authority orders decision letter on Bexhill to Hastings Link Road (PDF \u2013 46 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/bexhill-to-hastings-link-road/inspector-report.pdf"", ""title"": ""Report:Bexhill to Hastings Link Road (PDF \u2013 900 KB)""}]",702
new,http://www.dft.gov.uk/publications/bsog-20120823a,Letter to all English bus operators about Bus Service Operators Grant reform,Letter to all English bus operators about changes to the BSOG system.,"## Summary

This letter was written by the department to all English bus operators about changes to the BSOG system which are due to come in next year.

## Downloads documents

  * [Letter concerning important changes to the Bus Service Operators Grant, 23 August 2012 (PDF, 15KB)](http://assets.dft.gov.uk/publications/bsog-20120823a/bsog-20120823a.pdf)

## Related documents

  * [Bus service operator grants](http://www.dft.gov.uk/topics/public-transport/buses/bsog)",circulars-letters-and-bulletins,improving-local-transport,,background-to-the-bus-service-operators-grant-bsog,department-for-transport,17-Sep-2012,2012-09-17,,,,178,"[{""link"": ""http://assets.dft.gov.uk/publications/bsog-20120823a/bsog-20120823a.pdf"", ""title"": ""Letter concerning important changes to the Bus Service Operators Grant, 23 August 2012 (PDF \u2013 15KB)""}]",469
new,http://www.dft.gov.uk/publications/bsog-information-packs,Bus Service Operator's Grant information packs,Information packs for commercial bus operators detailing the eligibility criteria for claiming the grant.,"## Summary

Information packs for commercial bus operators detailing the eligibility criteria for claiming the grant.

## Documents

  * [Information pack and conditions of eligibility - PSV360 (PDF, 78 KB)](http://assets.dft.gov.uk/publications/bsog-info-packs/bsog-info-pack-psv360.pdf)
  * [Information pack and conditions of eligibility - Community bus operators (PDF, 82 KB)](http://assets.dft.gov.uk/publications/bsog-info-packs/bsog-info-pack-communities.pdf)",guidance,improving-local-transport,,background-to-the-bus-service-operators-grant-bsog,department-for-transport,22-Oct-2012,2012-10-22,,,,179,"[{""link"": ""http://assets.dft.gov.uk/publications/bsog-info-packs/bsog-info-pack-psv360.pdf"", ""title"": ""Information pack and conditions of eligibility \u2013 PSV360 (PDF \u2013 78 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/bsog-info-packs/bsog-info-pack-communities.pdf"", ""title"": ""Information pack and conditions of eligibility \u2013 Community bus operators (PDF \u2013 82 KB)""}]",466
new,http://www.dft.gov.uk/publications/bus-passenger-journeys,Bus passenger journeys,Latest quarterly data on bus passenger journeys in England.,"## DfT Business Plan other key data

### Geographical coverage: England

### Information broken down by: Region - data are available for London, English metropolitan areas (as a group), and English non-metropolitan areas (as a group)

## Latest data

  * In Quarter 2 (April-June) 2012, there were 1.15 billion passenger journeys on local buses in England.

_Most recent data_

Quarter

Passenger Journeys (billions)

2011/12 Apr-Jun

1.150

2012/13 Apr-Jun

1.149

Percentage change

0

The complete set of data is available at:

  * [BUS0106 - Passenger journeys on local bus services by metropolitan area status and country: Great Britain, quarterly from 2004-05 (XLS, 90 KB)](http://assets.dft.gov.uk/statistics/tables/bus0106.xls)
  * Bus passenger journeys in England increased by around 15 per cent between 2004/05 and 2008/09, a period in which the English National Concessionary Travel Scheme was introduced. Growth was greater in London, with a smaller increase in the metropolitan areas outside London over this period.
  * Since 2008/09, passenger journeys have remained broadly flat, with continued growth in London offsetting a gradual decline in passenger numbers outside London.
  * Though figures for individual quarters should be interpreted with caution, the April to June 2012 figures show a fall in seasonally adjusted journeys of 2 per cent for England compared with the previous quarter, with falls in London, metropolitan and non-metropolitan areas.
  * [Table for Passenger journeys on local bus services by metropolitan area status and country: Great Britain, quarterly from 2004-05 (CSV - 3 KB)](http://assets.dft.gov.uk/publications/bus-passenger-journeys/bus0106.csv)

## Background information

  * Quarterly estimates are based on a panel of the 18 largest non-metropolitan operators, Passenger Transport Executives (for metropolitan areas) and Transport for London (TfL). The panel covers over 90 per cent of the journeys made in Great Britain. Data from the quarterly panel is scaled to annual figures from the Department's main annual survey of 700 PSV operators, and figures are then seasonally adjusted. More information is in the Guidance Notes (see link in Related Information below).
  * The quarterly figures are less precise than the annual statistics which aim to report on all journeys, including those covered by smaller operators.
  * Quarterly figures are subject to revision due to the nature of the seasonal adjustment, and scaling to annual figures. However, these will typically be minor and not affect overall patterns shown
  * **Publishing schedule:** Quarterly
  * **Last updated:** 11 October 2012
  * **Next update:** December 2012
  * [Measurement template (PDF, 54 KB)](http://assets.dft.gov.uk/publications/bus-passenger-journeys/measurement-template.pdf)

## Other related data and information

  * [The full guidance notes on DfT bus statistics](http://assets.dft.gov.uk/statistics/series/buses/bus-notes-definitions.pdf)
  * [Related bus statistics](http://www.dft.gov.uk/statistics/series/buses)
  * [Research on attitudes to bus travel](http://www.dft.gov.uk/statistics/releases/public-attitudes-towards-buses-march-2011)

## Further information

  * [Business Plan 2011-2015](http://www.dft.gov.uk/publications/dft-business-plan)
  * [Input and impact indicators](http://www.dft.gov.uk/publications/?agency=dft&tag=business-input-and-impact-indicator)
  * Analyst contact: Matthew Tranter, [Bus statistics](mailto:bus.statistics@dft.gsi.gov.uk)","corporate-reports",improving-local-transport,,department-for-transport-business-plan,department-for-transport,11-Oct-2012,2012-10-11,,,,181,"[{""link"": ""http://assets.dft.gov.uk/statistics/tables/bus0106.xls"", ""title"": ""BUS0106 \u2013 Passenger journeys on local bus services by metropolitan area status and country: Great Britain, quarterly from 2004-05 (XLS \u2013 90 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/bus-passenger-journeys/bus0106.csv"", ""title"": ""Table for Passenger journeys on local bus services by metropolitan area status and country: Great Britain, quarterly from 2004-05 (CSV \u2013 3 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/bus-passenger-journeys/measurement-template.pdf"", ""title"": ""Measurement template (PDF \u2013 54 KB)""}, {""link"": ""http://assets.dft.gov.uk/statistics/series/buses/bus-notes-definitions.pdf"", ""title"": ""The full guidance notes on DfT bus statistics""}]",3509
new,http://www.dft.gov.uk/publications/business-continuity-management-policy,Business continuity management policy,Part of the department's internal control framework specifically covering business continuity management (BCM).,"## Summary

This policy is a key part of the Department for Transport's internal control framework and specifically covers the department's approach to business continuity management (BCM). This policy applies to all parts of the Department for Transport and its executive agencies and all of the activities it undertakes. The department's non-departmental public bodies (NDPBs) and those treated as NDPBs are to decide what BCM arrangements they need to have in place, using this policy as a guide.

## Download document

  * [Business continuity management policy (PDF, 100 KB)](http://assets.dft.gov.uk/publications/business-continuity-management-policy/business-continuity-management-policy.pdf)","policy-papers",,,,department-for-transport,24-Sep-2012,2012-09-24,,,,180,"[{""link"": ""http://assets.dft.gov.uk/publications/business-continuity-management-policy/business-continuity-management-policy.pdf"", ""title"": ""Business continuity management policy (PDF \u2013 100 KB)""}]",699
new,http://www.dft.gov.uk/publications/chiltern-second-addendum,Chiltern Railways (Bicester to Oxford improvements) order: second addendum inspector's report,The second addendum inspector's report regarding the Chiltern Railways (Bicester to Oxford Improvements) order.,"## Summary

This is the second addendum inspector's report to the Secretary of State, into the inquiry for the Chiltern Railways (Bicester to Oxford improvements) order.

## Download documents

  * [Chiltern Railways (Bicester to Oxford improvements) order second addendum inspector's report (PDF, 730KB)](http://assets.dft.gov.uk/publications/chiltern-second-addendum/chiltern-second-addendum.pdf)

## Related documents

  * [Chiltern Railways (Bicester to Oxford improvements) Secretary of State's decision letter, 17 October 2012](http://www.dft.gov.uk/publications/twa-20121017a/)",circulars-letters-and-bulletins,expanding-and-improving-the-rail-network,,twa-inspector-reports-and-decision-letters,department-for-transport,29-Oct-2012,2012-10-29,,,,182,"[{""link"": ""http://assets.dft.gov.uk/publications/chiltern-second-addendum/chiltern-second-addendum.pdf"", ""title"": ""Chiltern Railways (Bicester to Oxford improvements) order second addendum inspector\u2019s report (PDF \u2013 730KB)""}]",584
new,http://www.dft.gov.uk/publications/contrails-faqs,Contrails and chemtrails frequently asked questions,Frequently asked questions concerning contrails and chemtrails.,"## Summary

This document features frequently asked questions concerning contrails. It also addresses theories and reports relating to chemtrails.

## Download documents

  * [Contrails and chemtrails frequently asked questions (PDF, 26 KB)](http://assets.dft.gov.uk/publications/contrails-faqs/contrails-faqs.pdf)",guidance,making-sure-uk-airports-and-airlines-are-safe-secure-and-competitive-while-reducing-their-impacts-on-the-environment-and-communities,,,department-for-transport,2-Oct-2012,2012-10-02,,,,184,"[{""link"": ""http://assets.dft.gov.uk/publications/contrails-faqs/contrails-faqs.pdf"", ""title"": ""Contrails / Chemtrails \u2013 Frequently Asked Questions (PDF \u2013 26 KB)""}]",314
