old_url,title,target_organisation
http://www.archive.official-documents.co.uk/document/caboff/bodies97/bodies97.htm,Public Bodies 1997,not going to gov.uk
http://www.archive.official-documents.co.uk/document/caboff/guide/guide.htm,Guidance on Codes of Practice for Board Members of Public Bodies: Title,not going to gov.uk
http://www.archive.official-documents.co.uk/document/caboff/nim/natint.htm,National Intelligence Machinery,cabinet-office
http://www.archive.official-documents.co.uk/document/caboff/wicks/anrep-01.htm,"Annual Report of the Committee on Standards in Public Life",cabinet-office
http://www.archive.official-documents.co.uk/document/cm39/3912/3912.htm,The Government's Expenditure Plans - 1998-1999,department-of-health
http://www.archive.official-documents.co.uk/document/cm39/3945/3945.htm,Tackling Drugs to Build a Better Britain,home-office
http://www.archive.official-documents.co.uk/document/cm39/3958/3958.htm,Meeting the Childcare Challenge: A Childcare Strategy for Scotland,scottish-office
http://www.archive.official-documents.co.uk/document/cm39/3972/3972.htm,Review of the Crown Prosecution Service - Summary,attorney-generals-office
http://www.archive.official-documents.co.uk/document/cm39/3978/3978.htm,Economic and Fiscal Strategy Report 1998 - Home,hm-treasury
http://www.archive.official-documents.co.uk/document/cm41/4172/4172.htm,Resistance to Antibiotics and other Antimicrobial agents,department-of-health
http://www.archive.official-documents.co.uk/document/cm42/4253/4253.htm,The 2001 Census of Population,hm-treasury
http://www.archive.official-documents.co.uk/document/cm46/4618/4618.htm,The Government's Expenditure Plans 2000-01 to 2001-02,cabinet-office
http://www.archive.official-documents.co.uk/document/cm47/4713/4713.htm,Modernising Parliament - Reforming the House of Lords,cabinet-office
http://www.archive.official-documents.co.uk/document/cm48/4864/4864.htm,The Government Reply to the Second Report from the Home Affairs Committee Session 1999-2000,home-office
http://www.archive.official-documents.co.uk/document/cm50/5013/5013.htm,Government Response to the Intelligence and Security Committee's Annual Report 1999-2000,cabinet-office
http://www.archive.official-documents.co.uk/document/cm50/5016-i/5016i.htm,Reforming - The Mental Health Act - Part I - The new legal framework,department-of-health
http://www.archive.official-documents.co.uk/document/cm50/5016-ii/5016ii.htm,"Reforming - The Mental Health Act - Part II - High risk patients",department-of-health
http://www.archive.official-documents.co.uk/document/cm50/5050/5050.htm,"Schools Building on Success - Raising Standards, Promoting Diversity, Achieving Results",department-for-education-and-skills
http://www.archive.official-documents.co.uk/document/cm50/5074/5074.htm,Criminal Justice: The Way Ahead,home-office
http://www.archive.official-documents.co.uk/document/cm50/5076/5076.htm,Occupational and Personal Pension Schemes,department-of-social-security
http://www.archive.official-documents.co.uk/document/cm50/5080/5080.htm,Combating Electoral Fraud in Northern Ireland,northern-ireland-assembly
http://www.archive.official-documents.co.uk/document/cm50/5086/5086.htm,Valuing People - A New Strategy for Learning Disability for the 21st Century,department-of-health
http://www.archive.official-documents.co.uk/document/cm51/5100/5100.htm,Report of Her Majesty's Chief Inspector of Fire Services for England and Wales 1999/00,home-office
http://www.archive.official-documents.co.uk/document/cm51/5102/5102.htm,Department for Education and Employment and Office for Standards in Education - Departmental Report,department-of-education
http://www.archive.official-documents.co.uk/document/cm51/5103/5103.htm,Department of Health - The Government's Expenditure Plans 2001-2002 to 2003-2004 and Main Estimates 2001-2002,department-of-health
http://www.archive.official-documents.co.uk/document/cm51/5104/5104.htm,Food Standards Agency Departmental Report - The Government's Expenditure Plans 2001-02 to 2003-04 and Main Estimates 2001-02,department-of-health
http://www.archive.official-documents.co.uk/document/cm51/5105/5105.htm,Annual Report 2001 - The Government's Expenditure Plans 2001-02 to 2003-04,department-for-transport
http://www.archive.official-documents.co.uk/document/cm51/5106/5106.htm,"The Government's Expenditure Plans 2001-02 to 2003-04, and Main Estimates 2001-02 for the Home Office and the Charity Commission",home-office
http://www.archive.official-documents.co.uk/document/cm51/5107/5107.htm,The Lord Chancellor's Departments Departmental Report,hm-treasury
http://www.archive.official-documents.co.uk/document/cm51/5108/5108.htm,The Law Officer's Departments Departmental Report - The Government's Expenditure Plans 2001-2002 to 2003-2004 and Main Estimates 2001-02,attorney-generals-office
http://www.archive.official-documents.co.uk/document/cm51/5109/5109.htm,Ministry of Defence - The Government's Expenditure Plans 2001/2002 to 2003/2004,ministry-of-defence
http://www.archive.official-documents.co.uk/document/cm51/5111/5111.htm,Departmental Report 2001 - The Government's Expenditure Plans 2001/2002 to 2003/2004 and Main Estimates 2001/2002,department-for-international-development
http://www.archive.official-documents.co.uk/document/cm51/5112/5112.htm,The Government's Expenditure Plans 2001-02 to 2003-04 and Main Estimates 2001-02 - Trade & Industry 2001,department-of-trade-and-industry
http://www.archive.official-documents.co.uk/document/cm51/5114/5114.htm,"Department For Culture, Media and Sport - Annual Report 2001",department-for-culture-media-sport
http://www.archive.official-documents.co.uk/document/cm51/5115/5115.htm,Social Security Departmental Report - The Government's Expenditure Plans 2001-02 to 2003-04 and Main Estimates 2001-02,department-of-social-security
http://www.archive.official-documents.co.uk/document/cm51/5116/5116.htm,Departmental Report of the Chancellor of the Exchequer's Departments,hm-treasury
http://www.archive.official-documents.co.uk/document/cm51/5117/5117.htm,Her Majesty's Customs & Excise Spring 2001 Departmental Report,hm-treasury
http://www.archive.official-documents.co.uk/document/cm51/5118/5118.htm,Inland Revenue - The Government's Expenditure Plans 2001-2004,hm-treasury
http://www.archive.official-documents.co.uk/document/cm51/5119/5119.htm,REVIEW MANUALLY1,cabinet-office
http://www.archive.official-documents.co.uk/document/cm51/5120/5120.htm,Departmental Report by the Scotland Office - The Government's Expenditure  Plans 2001-02 to 2003-04,scotland-office
http://www.archive.official-documents.co.uk/document/cm51/5123/5123.htm,British Trade International - The Government's Expenditure Plans 2001-02 to 2003-04 and Main Estimates 2001-02,department-of-trade-and-industry
http://www.archive.official-documents.co.uk/document/cm51/5124/5124.htm,Government Response to the House of Lords Select Committee on Science and Technology's Report on Complementary and Alternative Medicine,department-of-health
http://www.archive.official-documents.co.uk/document/cm51/5126/5126.htm,Intelligence and Security Committee - Interim Report 2000-01,prime-ministers-office-10-downing-street
http://www.archive.official-documents.co.uk/document/cm52/5230/5230.htm,Schools Achieving Success,department-for-education-and-skills
http://www.archive.official-documents.co.uk/document/cm52/5233/5233.htm,A World Class Competition Regime,department-of-trade-and-industry
http://www.archive.official-documents.co.uk/document/cm52/5281/5281.htm,Cemeteries,home-office
http://www.archive.official-documents.co.uk/document/cm53/5312/cm5312.htm,Criminal Statistics England and Wales 2000 - Statistics relating to Crime and Criminal Proceedings for the year 2000,home-office
