ignore-status,old_url,title,summary,body,ignore-textdate,first_published,policy_1,policy_2,minister_2,organisation
new,http://www.dft.gov.uk/news/press-releases/dft-press-20120910a,Portsmouth road bridge given final go-ahead,Major improvements to tackle a traffic bottleneck on Portsmouth’s Northern Road Bridge will go ahead thanks to £11 million of government funding.,"Major improvements to tackle a traffic bottleneck on Portsmouth's Northern Road Bridge will go ahead thanks to £11 million of government funding confirmed today by Local Transport Minister Norman Baker.

The Department for Transport has given final approval to the scheme which will see work on a replacement bridge over the Portsmouth to London railway line at Cosham. The original bridge was built to carry a dual carriageway road but is now too weak to do so and traffic has been restricted to a single lane in each direction for a number of years.

The new bridge will allow the dual carriageway to be reinstated as well as removing any weight limit, bringing the bridge up to current national standards.

The scheme will restore the full standard of the bridge improving access to the local area and aiding the local economy by reducing congestion and ensuring that the route can be fully used, especially by the many buses which serve it.

Norman Baker said:

> This is an important scheme that will restore the full capacity of this route, help boost the local economy by reducing congestion and ensure journey time reliability for bus passengers.
> 
> The £11 million we are putting into this scheme shows that the coalition government is serious about investing in the infrastructure the country needs to drive economic growth.

The Northern Road Bridge scheme was one of the schemes given funding approval last year as part of the Spending Review process. Work can now start on the construction with the new bridge scheduled to open in October 2013.

## Notes to editors

  1. Today's announcement grants Full (final) Approval to the Northern Road Bridge scheme enabling work to begin.
  2. The scheme, promoted Portsmouth City Council, is scheduled to open in October 2013.
  3. The department will provide a maximum of £11.09 million towards the full scheme cost of £12.62 million.

Press enquiries: 020 7944 3066  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",2012-09-10,10-Sep-2012,managing-improving-and-investing-in-the-road-network,,norman-baker,department-for-transport
new,http://www.dft.gov.uk/news/press-releases/dft-press-20120911a,£5 million transport boost drives green growth in Tyne and Wear,"A carbon-cutting, growth boosting local transport scheme is set to go ahead in Tyne and Wear after almost £5 million of government funding was confirmed.","A carbon-cutting, growth boosting local transport scheme is set to go ahead in Tyne and Wear after almost £5 million of government funding was confirmed by Transport Minister Norman Baker.

Central to the project, Go Smarter to Work - Tyne and Wear Sustainable Transport Package, will be measures to relieve congestion on the A1 Western Bypass and make travelling to work in the area quicker and easier.

There will be new infrastructure such as bus priority lanes, cycle and walking routes and cycle parking at key transport interchanges. Those travelling on public transport will also benefit from real-time travel information facilities.

Innovative ideas have been developed to help those in areas where accessing work can be a significant problem and those living in remote rural areas will benefit from a scooter hire scheme to help them get to employment and training hubs.

The Department for Transport funding sees the final allocation of the government's local sustainable transport fund and is expected to unlock additional local contributions of £2.7 million.

Norman Baker said:

> The scheme we are funding will improve life for people in Tyne and Wear and show that cutting carbon and boosting economic growth and opportunity can go hand in hand.
> 
> Our investment in this scheme shows that we are serious about funding infrastructure where there is a clear business case for doing so. The money we are putting into this project will unlock much greater economic benefits for communities as well as improving the environment - it is a win-win for Tyne and Wear.

The first allocations of Department for Transport support under the Local Sustainable Transport Fund were made in July 2011. Since then, the fund has provided schemes across English regions with a total of over £600m. All the schemes have also received significant contributions from local councils or the private sector.

These local schemes are bringing national benefits. In addition to supporting economic growth, while enabling and encouraging people to make more sustainable travel choices, the projects will reduce delays on the roads in urban areas, delays which cost the economy around £11 billion a year. They will also help tackle problems such as poor air quality and improved cycling and walking infrastructure will help to improve the health of the nation.

## Notes to editors

  1. Tyne and Wear Integrated Transport Authority (ITA) secured Local Sustainable Transport Funding of £4.904m in the first round of the fund in July 2011. A subsequent larger bid earlier this year did not secure funding but the ITA was invited to submit a revised proposal focusing on a specific geographic area. Today's announcement relates to this revised bid, which will receive £4.995 million from the Department for Transport.
  2. A full list of [schemes that have been funded by the LSTF](http://www.dft.gov.uk/publications/local-sustainable-transport-fund-guidance-on-the-application-process) will be published on the Department for Transport website.

Press enquiries: 020 7944 3066  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",2012-09-11,11-Sep-2012,improving-local-transport,,norman-baker,department-for-transport
new,http://www.dft.gov.uk/news/press-releases/dft-press-20120913a,Transport statistics 13 September 2012,"Statistics release for vehicle licensing, port freight and reliability of journeys on Highway Agency's motorways and 'A' roads.","The Department for Transport has today published the following transport statistics:

  * [vehicle licensing statistics, quarter 2 2012](http://www.dft.gov.uk/statistics/releases/vehicle-licensing-statistics-q2-2012)
  * [port freight statistics, quarter 2 2012](http://www.dft.gov.uk/statistics/releases/port-freight-statistics-quarter-2-2012)
  * [reliability of journeys on Highway Agency's motorway and 'A' road network, July 2012](http://www.dft.gov.uk/statistics/releases/reliability-of-journeys-on-highways-agencys-motorway-a-road-network-july-2012/)

See the [department's statistics](http://www.dft.gov.uk/statistics) pages for details on all recent transport statistics releases.

These official statistics are published according to arrangements approved by the UK Statistics Authority.

Press enquiries: 020 7944 3066  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",2012-09-13,13-Sep-2012,sustaining-a-thriving-maritime-sector,managing-improving-and-investing-in-the-road-network,,department-for-transport
new,http://www.dft.gov.uk/news/press-releases/dft-press-20120917a,Additional service from Uckfield to London Bridge for commuters,Additional morning service set to be introduced from December 2012 between Uckfield and London Bridge.,"Early bird commuters between Uckfield and London Bridge will be able to arrive even earlier thanks to an additional morning service set to be introduced from December 2012.

The new service, which will operate on a line which has seen high growth levels, is being delivered thanks to an agreement between Southern Railway and the Department for Transport. The service will operate from Uckfield at 5.18am, arriving into London Bridge at 6.23am.

Southern is funding the new service in part from efficiencies it has delivered on its current franchise and the Department for Transport today formally agreed these savings can be used to provide the new service.

Transport Minister Norman Baker said:

> I am pleased to see the industry looking at solutions that deliver benefits to passengers.
> 
> Adding an additional service to this vital route will mean more seats for passengers, easing congestion and providing earlier travel to London.

Southern's Franchise Improvement Director David Scorey said:

> The Uckfield line has seen significant growth in recent years and we are pleased that we have been able to find a way to respond to the increasing need for extra capacity, particularly on the morning service.

The service will operate until the end of the Southern Franchise, at which point it may be operated by the successor franchise operator. The replacement Franchise specification is subject to a public consultation, which closed on 23 August 2012. Due to the general high level of interest in this particular consultation, DfT has agreed to accept responses to the TSGN consultation up to 1700 on Friday 14 September.

## Notes to editors

Q. Who is paying for the additional service?  
Southern has made efficiencies in delivering the committed obligations under the Franchise Agreement and this money along with a contribution from Southern will fund the additional service until the end of the Southern Franchise in July 2015.

Q. why can't Southern operate more trains on this route?  
This route is operated by diesel trains as part of the route between Uckfield and Hurst Green is not electrified. Southern has a limited number of diesel units that are dedicated to the services they operate on this route and the Ashford to Hasting route.

Q. What will happen when the Southern franchise ends?  
The replacement Franchise specification for the combined Thameslink, Southern, Great Northern Franchise is subject to a public consultation, closes on 23 August 2012. Due to the general high level of interest in this particular consultation, DfT has agreed to accept responses to the TSGN consultation up to 1700 on Friday 14 September.

Bidders for the new Franchise will be able to propose their own solutions for addressing longer term forecast demand, on the new franchise including the Uckfield and Hasting diesel routes in the longer term.

Q. Where will any additional Diesel trains come from in the future?  
There are a number of electrification schemes planned which should give bidders of new franchises the confidence to choose electric rolling stock which will mean diesel rolling stock will become available for alternative routes.

Press enquiries: 020 7944 3108  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",2012-09-17,17-Sep-2012,expanding-and-improving-the-rail-network,,norman-baker,department-for-transport
new,http://www.dft.gov.uk/news/press-releases/dft-press-20120917b,Passenger benefits secured through ticket office decision,Changes to the way passengers buy tickets at London Midland stations will improve facilities to reflect changing needs while making efficiency savings.,"Changes to the way passengers buy tickets at London Midland stations will improve facilities to reflect changing needs while making efficiency savings, Transport Minister Norman Baker announced today.

[Mr Baker partly approved proposals by London Midland to change the minimum opening hours at some ticket offices](http://www.dft.gov.uk/publications/london-midland-ticket-office-opening-hours-decision), but protected the interests of passengers.

He has secured a number of important passenger benefits including:

  * An extra 29 ticket vending machines at stations which do not currently have them allowing passengers to buy tickets around the clock;
  * Additional shelters on platforms and better signage;
  * More boarding ramps for wheelchair users and station lifts to be kept in operation at all times. Passengers who require assistance in making their journey will also be able to book this via a new industry website launched by ATOC last month.

Four of the nine ticket offices proposed for closure have been approved, while five others have been rejected. The ticket offices that will be allowed to close are Cheddington, Lye, Witton and Wythall. Adderley Park, Bescot Stadium, Duddeston, Jewellery Quarter and Small Heath will remain open.

Norman Baker said:

> These changes will better reflect the way passengers buy their tickets while improving satisfaction and efficiency.
> 
> I have protected passenger interests while allowing changes that provide savings to taxpayers and passengers far beyond the life of the existing franchise which will ultimately save millions of pounds.
> 
> For example, Lye station, near Stourbridge, is currently staffed Mon-Fri for nearly 18 hours (from 0552-2346). On average across the week, it sells less than 4 tickets per hour. It is for this reason that we are allowing London Midland to close this ticket office.

A number of ticket offices will be allowed to reduce their opening hours during very quiet periods, while several ticket offices at busy stations will have their minimum opening hours extended. A full list of the changes has been published on the department's website.

## Notes to editors

  1. The Ticketing and Settlement Agreement is the agreement between train operators that sets out the various arrangements between train operators relating to the carriage of passengers and the retailing of tickets. A copy of the latest version is available from the [ATOC website](http://www.atoc.org)
  2. The decision was referred to the Department for Transport to arbitrate under the existing rules of the Ticketing and Settlement Agreement.
  3. This decision is entirely separate from the recommendations made by Sir Roy McNulty, which recommended closure of ticket offices at a wider number of stations. The department is currently considering the recommendations of the McNulty report, and is looking at the issues in the context of a wider fares and ticketing review.

## Related documents

  * [Railway Stations](http://www.dft.gov.uk/news/statements/baker-20120917a)

Press enquiries: 020 7944 3108  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",2012-09-17,17-Sep-2012,expanding-and-improving-the-rail-network,,norman-baker,department-for-transport
new,http://www.dft.gov.uk/news/press-releases/dft-press-20120918a,More local decisions for transport schemes,Transport Minister Norman Baker has confirmed that more decisions on major transport schemes will be taken at a local level.,"More of the decisions on the major transport schemes that have a significant impact on people's daily lives will be taken at a local level, Transport Minister Norman Baker has confirmed today.

A public consultation on the devolution of decision-making on major local schemes showed broad support for the proposals and the Department for Transport will now be going ahead with the plans outlined in the consultation.

Local major transport schemes have traditionally been individually approved and funded by government under a centralised bidding process. In the future funding will be allocated locally according to population, allowing priorities to be decided by newly established local transport bodies which will be made up of local transport authorities, local enterprise partnerships (LEPs) and others with a key interest.

Norman Baker said:

> We want decisions on new transport infrastructure to be made more efficiently, and at a more local level than has previously been the case.
> 
> While it is right for the government to look at the big picture and co-ordinate schemes with a national impact, there is no substitute for local knowledge. That is why we want to make sure that important decisions affecting the future of towns and cities across England are made by those who best understand the specific issues facing their communities.

Decisions on the use of the devolved funding will be made by local transport bodies which will be expected to demonstrate to local stakeholders and central government that the schemes they will carry forward provide good value for money. Detailed guidance on how to provide this assurance will be published by the Department for Transport in due course.

## Related documents

  * [Devolving Local Major Transport Schemes: Next step, written statement by the Parliamentary Under-Secretary of State for Transport, 18 September 2012](http://www.dft.gov.uk/news/statements/baker-20120918a/)

## Note to editors

  1. The government's response to the consultation can be found on the [department's website](http://www.dft.gov.uk/consultations/dft-2012-04/).
  2. The Department for Business, Innovation and Skills (BIS), together with the Department for Communities and Local Government (DCLG), has this week announced £25 million core funding for local enterprise partnerships (LEPs) until the end of this Parliament, subject to match funding. This will enable LEPs to engage in longer term planning to deliver growth and jobs in their areas. More information can be found on the [BIS website](http://www.bis.gov.uk/).

Press enquiries: 020 7944 3066  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",2012-09-18,18-Sep-2012,improving-local-transport,,norman-baker,department-for-transport
new,http://www.dft.gov.uk/news/press-releases/dft-press-20120920a,Transport statistics 20 September 2012,Statistical release about quarterly bus statistics and port freight statistics.,"The Department for Transport on Thursday 20th September published the following Transport Statistics:

  * [quarterly bus statistics, quarter 2 2012](http://www.dft.gov.uk/statistics/releases/quarterly-bus-statistics-quarter-2-2012)
  * [port freight statistics: 2011 final figures](http://www.dft.gov.uk/statistics/releases/port-freight-statistics-2011-final-figures)

See [statistics](http://www.dft.gov.uk/statistics) for details on all recent transport statistics releases.

These official statistics are published according to arrangements approved by the UK Statistics Authority.

Press enquiries: 020 7944 3066  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",2012-09-20,20-Sep-2012,improving-local-transport,sustaining-a-thriving-maritime-sector,,department-for-transport
new,http://www.dft.gov.uk/news/press-releases/dft-press-20120920b,Drivers and cyclists agree “let's look out for each other”,A new poll for the Department for Transport’s THINK! campaign has found that 25% of UK adults are noticing more cyclists on the road.,"A new poll for the Department for Transport's THINK! campaign has found that 25% of UK adults are noticing more cyclists on the road after our cycling summer of success. With the 'Wiggins Effect' putting more people on the road, staying safe is a priority.

A new THINK! campaign, 'THINK CYCLIST', calls on drivers and cyclists to stay safe this autumn by looking out for each other - pointing out that drivers and cyclists have more in common than is often realised. With 80% of cyclists holding a driving licence, and 1 in 5 drivers cycling at least once a month , they are often the same people.

The THINK CYCLIST poll has also showed that cyclists and drivers agree on how to stay safe on the road.

  * Looking twice for each other when turning or at junctions came out top for both as the precaution that would avoid the most collisions (41% of regular cyclists, and 35% of regular car drivers).
  * Both also agree on how to make things better, with 67% of cyclists and 59% of drivers saying that giving each other space on the road was in their top three ways of making cyclists and drivers more visible to road users.

Road Safety Minister Stephen Hammond said:

> We take the issue of cycle safety extremely seriously so we are launching 'THINK CYCLIST', a campaign aimed at both cyclists and drivers.
> 
> With interest in cycling heightened by Bradley Wiggins winning the Tour de France and our cyclists' extraordinary success at the Olympics and Paralympics too, we want to remind cyclists and drivers of the importance of looking out for each other to avoid accidents.
> 
> Many people cycle and drive and a new THINK! poll shows both road user groups agree that looking twice at junctions, as well as giving each other space on the road, are practical things that we can all do to help reduce the numbers of cyclists killed and seriously injured on our roads each year.

The Mayor of London, Boris Johnson said:

> The safety of London's road users is an absolute priority for me and improved cycle safety in particular is at the heart of all our work. So with ever more Londoners taking to the streets on two wheels, many inspired by our amazing summer of sport, the THINK CYCLIST campaign is a timely reminder of the need for road users to respect each other and make the city a safer place.

THINK CYCLIST is calling on drivers and cyclists to

  * Look out for each other, especially when turning
  * Signal intentions so that the other road user can react
  * Give cyclists space and remember that cyclists are advised to ride well clear of the kerb to be visible and avoid collisions

This is the first time that THINK! has targeted cyclists and drivers together, and the campaign has the support of organisations such as the RAC, AA and IAM The campaign will be working with motoring and cycling organisations nationally and locally to help to get safety messages to their members.

RAC technical director David Bizley said:

> RAC welcomes any measure which helps improve safety for all road users and clearly with the growing interest in cycling there is a need for greater prominence of cycle safety. Many of our members are cyclists as well as drivers and we are keen to see greater awareness of the needs and risks presented by modern road use to, potentially, vulnerable cyclists.

AA President Edmund King said:

> There are too many accidents between cars and cyclists. We need to look for each other whether opening a car door or changing lanes. As fuel prices rise and fitness moves higher up the agenda there will be more cyclists. Drivers need to think more about cyclists on the road.

Chief executive of the IAM Simon Best said:

> Whether you're on two wheels or four, you are responsible for the safety of others. All accidents are preventable. By being considerate and eradicating bad habits we can significantly reduce accidents.

For further information please call Ella Sunyer or Cheryl Campsie on 020 7403 2230 or 07961 145 953 or Ella on 07859 078 932 or email [ella@forster.co.uk](mailto:ella@forster.co.uk) / [Cheryl@forster.co.uk](mailto:Cheryl@forster.co.uk).

### Notes to editors

  1. THINK! is the Department for Transport's road safety campaign. Find out more at [www.direct.gov.uk/think](http://www.direct.gov.uk/think)
  2. THINK CYCLIST is THINK!'s new cycling safety campaign. Find out more at [www.direct.gov.uk/thinkcyclist](http://www.direct.gov.uk/thinkcyclist)
  3. THINK CYCLIST advice:  
When you're driving 
    1. Look out for cyclists, especially when turning - make eye contact if possible so they know you've seen them
    2. Use your indicators - signal your intentions so that cyclists can react
    3. Give cyclists space - at least half a car's width. If there isn't sufficient space to pass, hold back. Remember that cyclists may need to manoeuvre suddenly if the road is poor, it's windy or if a car door is opened.
    4. Always check for cyclists when you open your car door
    5. Avoid driving over advance stop lines - these allow cyclists to get to the front and increase their visibility
    6. Follow the Highway Code including 'stop' and 'give way' signs and traffic lights

When you're cycling

    1. Ride positively, decisively and well clear of the kerb - look and signal to show drivers what you plan to do and make eye contact where possible so you know drivers have seen you.
    2. Avoid riding up the inside of large vehicles, like lorries or buses, where you might not be seen
    3. Always use lights after dark or when visibility is poor
    4. Wearing light coloured or reflective clothing during the day and reflective clothing and/or accessories in the dark increases your visibility
    5. Follow the Highway Code including observing 'stop' and 'give way' signs and traffic lights
  4. THINK! recommends wearing a correctly fitted cycle helmet, which is securely fastened and conforms to current regulations
  5. All figures, unless otherwise stated, are from YouGov Plc. Total sample size was 2117 adults. Fieldwork was undertaken between 21st - 23th August 2012. The survey was carried out online. The figures have been weighted and are representative of all UK adults (aged 18+).
  6. DfT Reported Road Casualties in Great Britain 2011 states that : 
    * The number of pedal cyclists killed fell by 4 per cent from 111 in 2010 to 107 in 2011.
    * The number of seriously injured casualties increased by 16 per cent to 3,085.
    * The total number of killed and seriously injured cyclists in creased by 15% to 3,192
    * Pedal cyclist traffic levels are estimated to have risen by 2.2 per cent over the same period

Press enquiries: 020 7944 3066  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",2012-09-20,20-Sep-2012,making-roads-safer,,stephen-hammond,department-for-transport
new,http://www.dft.gov.uk/news/press-releases/dft-press-20120926a,Funding boost for roads in the Isle of Wight,Roads in the Isle of Wight are set for a major upgrade after the Council is to benefit from up to £487.3 million of Government funding.,"The roads in the Isle of Wight are set for a major upgrade after Transport Minister Norman Baker announced that the council is to benefit from up to £487.3 million of government funding.

The Private Finance Initiative (PFI) funding will allow the Isle of Wight Council to carry out vital improvements and maintenance to local roads over a 25 year period.

This project will include the management and maintenance of over 497 miles of highways, over 12,000 street lighting columns and a further 2,000 or more illuminated street furniture items. The project will also encompass the Island's roads, pavements and cycleway network, bridges, retaining walls, CCTV, street lighting, car parks and traffic lights.

Transport Minister Norman Baker said:

> Well maintained local networks which work well for all road users - motorists, cyclists, pedestrians and public transport passengers - are vital for communities and encourage businesses to thrive.
> 
> The funding this government has agreed will bring better, safer roads and more reliable journeys to the people of the Isle of Wight. This contract will see the condition of the Island's roads greatly improved.
> 
> I very much look forward to seeing the improvements this vital funding will bring.

Isle of Wight is expected to commence operation of this project on 1 April 2013.

## Notes to editors

  1. The Department for Transport press notice issued on 20 October 2010, following the Spending Review, set out the government's intention to proceed with a number of local authority PFI projects in procurement, subject to ensuring affordability and value for money. 
    * [Transport spending review 2010 press release, 20 October 2010](http://www.dft.gov.uk/news/press-releases/dft-press-20101020/)
  2. Following a savings exercise we announced re-approval of the three highways maintenance schemes in March 2011 which allowed the promoters to complete their procurement process. 
    * [Local transport improvement projects get green light, 24 March 2011](http://www.dft.gov.uk/news/press-releases/dft-press-20110324/)
  3. This scheme will allow Isle of Wight Council rehabilitate the island's roads, footways, street lighting and other aspects that are related to the highway. It includes almost 497 miles of road and 477 miles of footway. The project also includes 12,000 street lights, a number of bridges and other structures. 
    * [Isle of Wight Council website](http://www.iwight.com/highways-pfi/project.asp)

Press enquiries: 020 7944 3108  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",2012-09-26,26-Sep-2012,managing-improving-and-investing-in-the-road-network,,norman-baker,department-for-transport
new,http://www.dft.gov.uk/news/press-releases/dft-press-20120927a,Transport statistics 27 September 2012,"Statistical release about reported road casualties, public attitudes to train services and Blue Badge.","The Department for Transport has today published the following Transport Statistics:

  * ['Reported road casualties Great Britain: 2011 Annual Report'](http://www.dft.gov.uk/statistics/releases/reported-road-casualties-great-britain-annual-report-2011)
  * [public attitudes towards train services: Results from the April 2012 Opinions Survey](http://www.dft.gov.uk/statistics/releases/public-attitudes-towards-train-services)
  * [Blue badge scheme statistics 2011/12](http://www.dft.gov.uk/statistics/releases/blue-badge-scheme-statistics-2011-12)

Details on all [recent transport statistics releases](http://www.dft.gov.uk/statistics).

These Official Statistics are published according to arrangements approved by the UK Statistics Authority.

Press enquiries: 020 7944 3066  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",2012-09-27,27-Sep-2012,making-roads-safer,making-transport-more-accessible-to-all,,department-for-transport
