old_url,title,summary,body,type,delivered_by,event_and_location,organisation,policy 1,policy 2,policy 3,policy 4,first published,,
http://www.dft.gov.uk/news/statements/hammond-20100527,High Speed Rail - Exceptional Hardship Scheme,"Written statement by the Rt Hon Philip Hammond MP, Secretary of State for Transport.","**The Secretary of State for Transport (Mr Philip Hammond):** The Government believes that high speed rail has the potential to bring significant and long-lasting benefits for Britain's economy and society. But we also recognise that there can be unavoidable consequences for those who live closest to any route put forward for such a network, particularly when they urgently need to sell their property.

It is for this reason that the Government is of the view that an Exceptional Hardship Scheme is absolutely necessary to help those who are most directly and immediately affected.

Details of such how such an Exceptional Hardship Scheme might operate were published for consultation on 11 March. In order to limit the delay for those in most urgent need of financial assistance, this consultation was due to run for ten weeks, ending on 20 May.

However, having received representations which argued that ten weeks is not sufficient to allow all those with an interest to have the fullest possible opportunity to comment on these proposals, I announced last week that the deadline for that consultation would be extended by four weeks to 17 June.

In taking this decision, I have been aware of its implications for those in the most urgent need. Therefore, without prejudice to the outcome of the consultation, I have asked my officials to put shadow arrangements in place so that, should a decision be taken to proceed with the Scheme, applications can begin to be considered immediately.

By bringing forward the timescale for applications in this way, I hope to minimise uncertainty for those affected and ensure that payments can be made as quickly as possible wherever appropriate.

Of course, anyone whose application is considered under such shadow arrangements will also have a right of appeal once the formal scheme is up and running.

Furthermore, once a route is chosen and safeguarded by the Government, eligible property owners will have access to statutory blight compensation.
",Written statement,philip-hammond,,Department for Transport,expanding-and-improving-the-rail-network,developing-a-new-high-speed-rail-network,,,27/05/2010,,
http://www.dft.gov.uk/news/statements/penning-20100608,Review of the motorcycle test,"Written statement by Mike Penning MP, Parliamentary Under-Secretary of State for Transport.","**Parliamentary Under-Secretary of State for Transport (Mike Penning):** I am announcing today a review of motorcycle tests in Great Britain. The new two-part motorcycle test that was introduced in April 2009 has clearly led to some concern amongst motorcycle groups, particularly about the safety of the off-road module 1 part of the test and about the difficulty of accessing the limited number of off-road test centres.  The new test was introduced in order to meet the requirements of the second EU Directive on driving licences. While most elements in the module 1 test are required by the Directive, there may be scope for us to make some changes to the way in which the test is carried out.

We will be working with the motorcycle community and road safety groups to look again at the current form of the motorcycle test.  This review will look at the manoeuvres carried out in both modules 1 (off-road) and 2 (on-road) and whether these manoeuvres could safely be conducted in the on-road test.

The review will also look at other related motorcycle testing and training issues, including the options for training and testing for progressive access under the third driving licence directive and how any changes relate to wider proposals to improve motorcycle training and testing.

We are inviting views from members of the public, motorcycle riders, trainers, road safety groups and others on what aspects of the motorcycle test they want us to look at, including how and where they think motorcycle testing might best and most safely be carried out.  Views should be submitted to the Department for Transport ([RUSD4consultation@dft.gsi.gov.uk)](mailto:RUSD4consultation@dft.gsi.gov.uk)) by 31 July.  We aim to conclude the review by the autumn.
",Written statement,mike-penning,,Department for Transport,managing-improving-and-investing-in-the-road-network,making-roads-safer,,,08/06/2010,,
http://www.dft.gov.uk/news/statements/penning-20100609,Seafarers and the Equality Act 2010,"Written statement by Mike Penning MP, Parliamentary Under-Secretary of State for Transport.","**Parliamentary Under-Secretary of State for Transport (Mike Penning):** On 30 November 2009, the previous Government published draft affirmative regulations showing how they proposed to apply Part 5 of the Equality Act 2010 to seafarers.  The draft regulations were silent on the practice of differential pay for seafarers recruited abroad and therefore, if they had been approved by Parliament in their published form, the practice of differential pay for seafarers recruited abroad would have ended.

Those who are likely to be affected by the final regulations were invited to submit evidence-based financial estimates of the likely impact of either:

(a) outlawing the practice of differential pay altogether; or,

(b) continuing to allow the payment of differential rates of pay to seafarers but only where such differentiation would not operate to the disadvantage of nationals from an EU, EEA state (or any other state whose nationals are entitled to corresponding rights under EU law) nor that of seafarers recruited in Great Britain, and the difference in rates would correspond to a difference in the cost of living in the places where the seafarers respectively habitually reside.

The then Government subsequently announced a review of the evidence submitted would be commissioned.

Today I am publishing the findings of the review commissioned by the previous Government copies of which have been placed in the Libraries of the House and are available on the DfT website (www.dft.gov.uk).

The issues raised by those who submitted evidence are important and the Government wishes to provide interested parties the opportunity to comment on this review of evidence before reaching conclusions on how to proceed. I am therefore inviting comments on this review over the next two weeks. I am especially keen to hear from those parties who previously submitted evidence.

Once I have considered the matter further, I will report back to Parliament.
",Written statement,mike-penning,,Department for Transport,sustaining-a-thriving-maritime-sector,,,,09/06/2010,,
http://www.dft.gov.uk/news/statements/hammond-20100610,Transport: Local Authority Major Schemes,"Written statement by the Rt Hon Philip Hammond MP, Secretary of State for Transport.","**The Secretary of State for Transport (Mr Philip Hammond):** The Government has made clear its most urgent priority is to tackle the UK's record budget deficit, in order to restore confidence in the economy and support the recovery.  The Department for Transport will play a full part in the spending review which will be reporting in the autumn.  Only once the Government's spending review has been concluded will the Department for Transport be in a position to identify those major investments that can be supported.

The Government has also made a commitment - as set out in the Coalition Agreement - to reform the way decisions are made on which transport projects are prioritised.

Given the uncertainties which both of these factors create, and in view of the likely budgetary constraints, and the consequent likelihood that not all schemes will be able to proceed on their planned timetable, it would be inappropriate for the Department to continue to invest time and resources on development of schemes at the same rate as before.  Local Authorities will also wish to consider carefully whether investing further time and resources in developing such schemes ahead of the Spending Review is justified.  They should not assume that schemes prioritised under the previous Government's Regional Funding Allocations (RFA) process will be funded to the previous published levels.

I am therefore today taking steps to help avoid unnecessary expenditure, whilst the Government considers its transport priorities:

  * The previous Major Schemes Guidance for Local Authorities and associated approval processes are being suspended until further notice.
  * All schemes that were granted Conditional Approval or Programme Entry by the previous Government will be reviewed as part of the spending review. Until then, the Government can give no assurances on funding support for any of these schemes.
  * Ministers will postpone decisions on scheme orders for schemes requiring DfT funding, but consideration will be given if there are alternative funding sources. Similarly, public inquiries on schemes requiring DfT funding will generally be postponed and no further inquiries will be scheduled, but inquiries will be allowed to proceed if there are alternative funding sources.

The previous Major Schemes Guidance for Local Authorities is today being replaced with new interim guidance to Local Authorities, which has been placed in the Libraries of the House and will be available on the Department for Transport website (www.dft.gov.uk) today. Officials will also be writing to affected local authorities.

The Government will aim to provide a firm indication on the way forward later this year once the spending review is complete.
",Written statement,philip-hammond,,Department for Transport,managing-improving-and-investing-in-the-road-network,improving-local-transport,,,10/06/2010,,
http://www.dft.gov.uk/news/statements/penning-20100610,Marine aids to navigation,"Written statement by Mike Penning MP, Parliamentary Under-Secretary of State for Transport.","**Parliamentary Under-Secretary of State for Transport (Mike Penning):** I wish to inform the House that following the publication of the consultants' report entitled ""Assessment of the provision of marine aids to navigation around the United Kingdom and Ireland"" in March 2010 (_Official Report_ 10 Mar 2010: Column 19WS), I am inviting interested parties to provide me with their views on the recommendations.

The report has over fifty recommendations which would require action by the governments of the United Kingdom and Ireland or by the general lighthouse authorities (GLAs) of both countries. Some of them are self evidently sensible and straightforward to implement.  The GLAs are already doing so in a number of cases.  Others would be more challenging and take longer.

I intend to give everyone with an interest a further opportunity to make their views known and I will take account of any opinions that are expressed before reaching conclusions on how the recommendations should be implemented.

Key recommendations in the report include:

  * Creating a GLA joint strategic board to drive efficiencies;
  * Using an annual target reduction calculator (RPI - x%) for GLA running costs;
  * Developing a ""roadmap"" with the Irish Government on the financing of the Commissioners of Irish Lights, setting out an incentivised financial model which retains the all-Ireland body while allowing its costs within the Republic of Ireland to be covered wholly from Irish sources; and
  * Changing the structure and scope of light dues.

I should like to invite comments on these and any other findings of the report by 15 July 2010 before coming to any conclusions.  I then intend to publish decisions on what action needs to be taken and, if necessary, to consult further on specific proposals.

The report has been posted on the Department's website (www.dft.gov.uk) and copies are available in the Libraries of the House.
",Written statement,mike-penning,,Department for Transport,sustaining-a-thriving-maritime-sector,,,,10/06/2010,,
http://www.dft.gov.uk/news/statements/hammond-20100614,Rail value for money study,"Written statement by the Rt Hon Philip Hammond MP, Secretary of State for Transport.","**The Secretary of State for Transport (Mr Philip Hammond):** I welcome the publication of the scoping study report from Sir Roy McNulty's review of Value for Money on the railway. While I recognise that this report represents a very early stage in the work of Sir Roy and his team, I believe that the report represents an important step in identifying the factors that drive up the cost of the UK railway.

Given the scale of the fiscal deficit the UK is facing, it is vital that public spending be subject to scrutiny to ensure that it represents value for money. We must adjust to a world in which our aspirations for a successful railway have to be met from within a much tighter public spending envelope. As the scoping study highlights, there is evidence that the cost of the UK railway is relatively high, both in historic terms, and by comparison with other European railways.

The next stage will be to look at options for ensuring public investment in the railways is delivered as efficiently and effectively as possible. I have therefore asked Sir Roy to accelerate key elements of his work so that his preliminary findings can inform the decisions on public spending that will have to be taken in the autumn.

I would call upon all stakeholders in the rail industry to offer Sir Roy and his team their fullest co-operation. By driving efficiencies on the railway, we can ensure that passengers and freight users get the railway they need at a price which Government and taxpayers can afford.

Copies of the report have been placed in the Libraries of the House and are available on the Departments website (www.dft.gov.uk).
",Written statement,philip-hammond,,Department for Transport,expanding-and-improving-the-rail-network,,,,14/06/2010,,
http://www.dft.gov.uk/news/statements/hammond-20100615,South East Airports Task Force,"Written statement by the Rt Hon Philip Hammond MP, Secretary of State for Transport.","**The Secretary of State for Transport (Mr Philip Hammond):** The Government believes that aviation makes a vital contribution to the economy of this country and to the lives of our citizens. The aviation sector contributes some £11bn to GDP and directly employs some 200,000 people. Its true economic value is much greater than this when we consider the importance of air travel to the global economy and to UK competitiveness. But we cannot simply allow growth to continue at the levels it has in the past. Doing so risks unacceptable consequences in terms of noise and local air quality, quite apart from the global impacts in terms of CO2 emissions.

We need to start a new chapter in aviation policy - one that promotes a competitive aviation industry, supporting UK economic growth, whilst recognising the need for restraint.  We have already begun that by making clear our opposition to adding yet more runways at Heathrow, Stansted or Gatwick. Instead, we must explore different ways in which to improve the efficiency of these key components of our national transport infrastructure.

Improving the passenger experience is at the heart of this Government's vision for UK aviation. We announced in the Queen's Speech our intention to reform the economic regulation of airports to deliver better outcomes for passengers. But I believe that there are also other things that Government and the industry can do together, and so today I am announcing the establishment of a South East Airports Task Force with key players from across the industry to explore the scope for other measures to help make the most of existing airport infrastructure and improve conditions for all users. The group will be chaired by the Minister of State, the Rt Hon Member for Chipping Barnet (Theresa Villiers) and its initial focus will be on action at our three biggest airports - Heathrow, Gatwick and Stansted.

I am confident that, by working closely with the aviation sector, alongside our regulatory reforms, this will help deliver improvements for all.

## Related documents

  * [South East Airports Taskforce Report](/publications/south-east-airports-taskforce)
  * [Written statement by Minister of State for Transport on South East Airports Taskforce](/news/statements/villiers-20110714)
  * [South East Airports Taskforce - meeting documentation](/publications/south-east-airports-taskforce-meeting-docs/)

",Written statement,philip-hammond,,Department for Transport,increasing-international-competitiveness-of-uk-airlines-and-airports,,,,15/06/2010,,
http://www.dft.gov.uk/news/statements/hammond-20100616,North Review of Drink and Drug Driving,"Written statement by the Rt Hon Philip Hammond MP, Secretary of State for Transport.","**The Secretary of State for Transport (Mr Philip Hammond):** A review of drink and drug driving regulation was commissioned by the then Secretary of State on 3rd December 2009, to be undertaken by Sir Peter North. Sir Peter's final report has been published today. This report covers a wide range of issues and makes 51 detailed recommendations, which we need to consider carefully with other Government departments.  In doing so, it is important that we fully investigate the economic and public service resource impact of any suggested changes to the law, taking account of the current financial and economic situation.

Copies of the report have been placed in the Libraries of the House.
",Written statement,philip-hammond,,Department for Transport,managing-improving-and-investing-in-the-road-network,making-roads-safer,,,16/06/2010,,
http://www.dft.gov.uk/news/statements/villiers-20100617,Rail Franchising,"Written statement by the Rt Hon Theresa Villiers MP, Minister of State for Transport.","**The Minister of State for Transport (Theresa Villiers):** The Department for Transport will shortly begin a consultation exercise on the future of rail franchising policy. This consultation will provide industry partners with the opportunity to comment on the Government's approach to rail franchising and whether bidders for longer franchises would be able to offer investment in improvements to trains and services. It will also allow the industry to set out its proposals for improving the efficiency and value for money of rail franchises, for both taxpayers and fare payers. I will set out further details to the House in due course.

To enable the next Greater Anglia and Essex Thameside franchises - which are currently in the process of being re-let - to fully reflect the changes resulting from this review of policy the competitions for these franchises, which were started in January 2010, are to be cancelled.

It is currently expected that a new competition for the Greater Anglia franchise will be advertised by the end of the year, after the consultation responses have been considered, with the Essex Thameside franchise following in Autumn 2011.

It is also expected that there will be some consequent changes to the procurement timescales previously published for the InterCity East Coast franchise. Rail services will continue to run as normal on all affected franchises. A Prior Information Notice (PIN) setting out the Department's proposed future rail franchising programme will be issued in due course.
",Written statement,theresa-villiers,,Department for Transport,expanding-and-improving-the-rail-network,,,,17/06/2010,,
http://www.dft.gov.uk/news/statements/hammond-20100622,EU Transport Council - 24 June 2010,"Written statement by the Rt Hon Philip Hammond MP, Secretary of State for Transport.","**The Secretary of State for Transport (Mr Philip Hammond):** I will attend the second Transport Council of the Spanish Presidency which will take place in Luxembourg on 24 June.

A wide-ranging **EU-US Air Transport Agreement** came into effect in April 2008. Its provisions included removal of all commercial restrictions on flights between the EU and the US); and improved cooperation in safety, security, competition, consumer protection and the environment. Negotiations for ""Stage 2"" of the Agreement began in May 2008. The negotiations have led to a solid outcome, which includes recognition of the importance of greater access for airlines to global capital markets and a widening of the reach of the agreement in environmental matters. I propose to agree to the signature of the Stage 2 Agreement at the Council. A signing ceremony is planned for later in the day.

The Commission will present to the Council its report on the EU response to the consequences of the recent **volcanic ash cloud** on air transport. The Commission's report was produced at the request of an extraordinary session of the Transport Council on 4 May.  The Commission is expected to provide an overview of the technical work that has been taking place at national, European and global level to increase the understanding of safe flying in areas affected by ash and to examine how the rules and guidance might be improved. My intention would be to encourage further cooperation in this area in order to ensure that airlines and passengers are subjected to the minimum of disruption internationally should there be another eruption. The issue of financial assistance for companies affected by the ash disruption may arise. While recognising the significant financial impact of lost revenue and/or passenger assistance, I do not intend to raise any expectations and would propose to emphasise that budgetary constraints make any support from UK taxpayers unlikely.

The Council will be asked to adopt Conclusions following the Commission Communication on **Urban Mobility**, which set out an Action Plan. We support the principles of the Action Plan, and the opportunity to spread best practice across the Community. The Conclusions take a common sense approach by making use wherever possible, of existing institutions, programmes and instruments. I welcome the recognition that intelligent transport systems offer strategic options for improving urban mobility as this is an area that the UK has focussed on. I also welcome the focus in the Conclusions on research of all kinds on clean and energy-efficient vehicles. It is important that that the Action Plan does not lead to further legislation, and that cities and city regions retain the freedom to pursue and implement locally relevant solutions.

There will be a policy debate on the role of transport in the ""**Europe 2020 strategy** for smart, sustainable and inclusive growth"".  No conclusions are expected and no decisions will be taken.  I will take the opportunity to highlight how EU transport policy can and should promote jobs and growth.

Notable among the AOB items is a report from the Commission on **security scanners**. This report concludes that security scanners at airports could help to reinforce passenger security and where deployed should be covered by common EU wide standards covering performance, fundamental rights and health provisions. Scanners are currently deployed at several UK airports.

",Written statement,philip-hammond,,Department for Transport,increasing-international-competitiveness-of-uk-airlines-and-airports,,,,22/06/2010,,
