type,slug,political,publication-type
publication,central-office-of-information-annual-reports-and-accounts,true,Corporate reports
publication,uk-public-bodies-that-operate-in-scotland,true,Corporate reports
publication,cabinet-office-annual-report-and-accounts-2011-2012,true,Corporate reports
publication,cabinet-office-data-sets-annual-report-and-accounts-2012-to-2013,true,Corporate reports
publication,hs2-ltd-triennial-review-2011,true,Corporate reports
publication,nick-hurd-letter-on-improving-social-investment-regulation,true,Correspondence
publication,business-compact-signatories-and-factsheet,true,Forms
publication,civil-contingencies-act-2004-performance-assessment-frameworks,false,Guidance
publication,civil-contingencies-act-category-2-responders-overview-of-sectors-and-emergency-planning-arrangements,false,Guidance
publication,civil-contingencies-act-enhancement-programme-briefing-pack,false,Guidance
publication,national-emergency-plan-for-the-telecommunications-sector,false,Guidance
publication,project-bank-accounts,false,Guidance
publication,revised-chapters-of-emergency-preparedness-government-responses,false,Guidance
publication,special-advisers-code-of-conduct,false,Guidance
publication,protocol-for-appointment-process-of-lord-lieutenants,false,Guidance
publication,protocol-for-avoidance-and-resolution-of-disputes-devolved-administrations,false,Guidance
publication,emergency-responder-interoperability-lexicon,false,Guidance
publication,public-emergency-alerts-reviews-and-guidance,false,Guidance
publication,construction-cost-benchmark-data,false,Guidance
publication,procurement-policy-note-0513-modernising-eu-procurement-rules,false,Guidance
publication,procurement-policy-note-0613-promoting-tax-compliance,false,Guidance
publication,procurement-policy-note-0713-eu-statistics-on-public-procurement-annual-return-for-calendar-year-2012,false,Guidance
publication,procurement-policy-note-0813-eu-statistics-on-utilities-sector-procurement-annual-return-for-calendar-year-2012,false,Guidance
publication,procurement-policy-note-0913-implementing-the-new-classifications-policy,false,Guidance
publication,procurement-policy-note-0314-promoting-tax-compliance,false,Guidance
publication,procurement-policy-note-0214-extending-mystery-shopper,false,Guidance
publication,national-exemption-order-scheme,false,Guidance
publication,procurement-policy-note-0914-cyber-essentials-scheme-certification,false,Guidance
publication,procurement-policy-note-1014-the-plan-for-public-procurement-of-food-and-catering,false,Guidance
publication,using-a-total-impact-approach-to-achieve-social-outcomes,false,Guidance
publication,procurement-policy-note-1114-references-and-public-procurement,false,Guidance
publication,the-cabinet-committees-system-and-list-of-cabinet-committees,false,Guidance
publication,procurement-policy-note-0115-implementing-energy-efficiency-directive-article-6-further-information,false,Guidance
publication,government-ministers-and-responsibilities,false,Guidance
publication,procurement-policy-note-0215-public-contracts-regulations-2015,false,Guidance
publication,procurement-policy-note-0714-implementing-energy-efficiency-directive-article-6,false,Guidance
publication,procurement-policy-note-0614-short-form-terms-and-conditions,false,Guidance
publication,procurement-policy-note-0514-staff-transfers-and-pensions,false,Guidance
publication,procurement-policy-note-0414-model-services-contract,false,Guidance
publication,procurement-policy-note-0114-sharing-information-within-government,false,Guidance
publication,government-commercial-management-cabinet-office-role,false,Guidance
publication,promoting-tax-compliance-and-procurement-procurement-policy-information-note,false,Guidance
publication,procurement-policy-note-02-13-supplier-financial-risk-issues,false,Guidance
