old_url,organisation,title,policy_1,policy_2,policy_3,policy_4,publication_type,body,price,ignore date,publication_date,ignore type,ISBN,attachment_0_url,attachment_0_title,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title
http://www.communities.gov.uk/publications/housing/generalconsent2008,department-for-communities-and-local-government,"The Housing Grants, Construction and Regeneration Act 1996: Disabled Facilities Grant (Conditions relating to approval or payment of Grant) General Consent 2008",providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"On 8 May 2008 Communities and Local Government wrote to local authorities detailing the changes mentioned in the _Disabled Facilities Grant: the Package of Changes to Modernise the Programme_.

The General Consent letter is introduced to reflect changes to the charge on property. The changes to the DFG came into force on 22 May 2008.",Free,22 May 2008,22-May-2008,Circular and official letters,,http://www.communities.gov.uk/documents/housing/pdf/generalconsent2008.pdf,Disabled Facilities Grant (Conditions relating to approval or payment of Grant) General Consent 2008,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/decenthome,department-for-communities-and-local-government,A Decent Home: definition and guidance for implementation,improving-the-rented-housing-sector,,,,guidance,"This guidance replaces _A Decent Home: The definition and guidance for implementation_ published in February 2004. It has been issued to accompany the launch of the final Decent Homes bidding round for the Round 6 Arms Length Management Organisations (ALMOs) and the 2006 Housing Transfer Programme. The guidance explains a number of Decent Homes policy amendments and seeks to clarify issues that have arisen in the implementation of the programme.

Tremendous progress has been made in delivering the Decent Homes programme, with over half the task being completed and with the last few local authorities putting in place their programmes for delivery. The Decent Homes programme has already made a real difference to the lives of tenants by not only making improvements to social housing but also through improved services. By the time we get to 2010 we expect that, around 3.6 million homes will have had work carried out to them, many more than the 2.2 million non-decent homes we started with in 1997. This additional work will have prevented many homes becoming non-decent, and will have dealt with those that fell below decent between 1997 and 2010.

In revising this guidance, Communities and Local Government (Communities and Local Government - formerly the Office of the Deputy Prime Minister or ODPM) is setting out how it sees social landlords building on the success of the programme working more flexibly to go beyond the Decent Homes programme to undertake more radical solutions to transform some of the poorest neighbourhoods into mixed, sustainable communities.",Free,7 June 2006,07-Jun-2006,"Good practice and guidance, Strategies and action plans",,http://www.communities.gov.uk/publications/housing/decenthome?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/138355.pdf,A Decent Home: Definition and guidance for implementation - June 2006 update.,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/guide,department-for-communities-and-local-government,A guide to social rent reforms in the local authority sector,improving-the-rented-housing-sector,,,,guidance,"The Government's policy for social rents in England that are fair, affordable and less confusing for tenants was set out in the December 2000 policy statement, _Quality and Choice: A Decent Home for All - The Way Forward for Housing_.

This guide explains, in detail, the basis on which local authorities are being encouraged to set their rents from 2002 onwards.

_Note on quality: the files attached to this page were converted from a legacy website by automatic process, and may contain minor formatting errors. The text of the document is complete and as originally published._",Free,3 February 2002,03-Feb-2002,Good practice and guidance,,http://www.communities.gov.uk/documents/housing/pdf/139190.pdf,A guide to social rent reforms in the local authority sector,http://www.communities.gov.uk/documents/housing/rtf/157203.rtf,A guide to social rent reforms in the local authority sector,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/hmolicensingguide,department-for-communities-and-local-government,"A guide to the licensing and management provisions in Parts 2, 3 and 4 of the Housing Act 2004 - Draft",improving-the-rented-housing-sector,,,,guidance,"The draft guidance provides a guide to the provisions in Part 2, 3 and 4 of the Housing Act 2004. It explains the definition of a House in Multiple Occupation (HMO) for licensing purposes, the effect of the licensing provisions in parts 2 and 3 of the Act and the circumstances in which management orders can be made under Part 4.

Once finalised it will form a detailed guide to the legislation for local housing authority practitioners, private landlords and tenants. It will provide the Department's interpretation of the provisions in Parts 2, 3 and 4 of the Act, but will not constitute a definitive legal interpretation of the legislation. We would welcome any comments on this document by **Friday 12 March**, email: [licensing@communities.gsi.gov.uk](mailto:licensing@communities.gsi.gov.uk).",Free,27 January 2010,27-Jan-2010,"Good practice and guidance, Reports and summaries",9781409815389,http://www.communities.gov.uk/documents/housing/pdf/1446472.pdf,"A guide to the licensing and management provisions in Parts 2, 3 and 4 of the Housing Act 2004 - Draft",,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/aboutmortgagerescue,department-for-communities-and-local-government,About the mortgage rescue scheme - government mortgage to rent,helping-people-to-buy-a-home,,,,guidance,"Government mortgage to rent is part of the Mortgage Rescue scheme, a new government initiative to help vulnerable households who may be at risk of having their homes repossessed.

It allows you to stay in your home as a tenant paying rent, rather than as a homeowner, to relieve the financial pressure you are under. Your lender wants to help you solve your financial problems before they become too difficult to manage.

After talking to you about options to manage your finances, they believe that Government mortgage to rent may be a sensible option.",Free,4 March 2010,04-Mar-2010,Manuals leaflets and booklets,9781409819509,http://www.communities.gov.uk/documents/housing/pdf/1495994.pdf,About the mortgage rescue scheme: Government mortgage to rent,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/flexibletenurequestions,department-for-communities-and-local-government,Assisting shared owners at risk of repossession: flexible tenure - questions and answers,helping-people-to-buy-a-home,,,,guidance,"This document published by the Tenant Services Authority on 30 March 2010, outlines how Housing Associations can assist shared owners who are at risk of repossession. It includes a question and answer section on setting up flexible tenure schemes.",Free,29 March 2010,29-Mar-2010,Manuals leaflets and booklets,,http://www.tenantservicesauthority.org/upload/doc/Assisting_shared_owners_-_risk_repossession.doc,Assisting shared owners at risk of repossession: Flexible tenure - Questions and answers,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/assuredtenancyforms,department-for-communities-and-local-government,Assured tenancy forms,improving-the-rented-housing-sector,,,,forms,"The Housing Acts of 1988 and 1996 set out the rules that apply to assured and assured shorthold tenancies. These are the type of residential tenancy agreements used by most private landlords and housing associations. There are a number of matters on which landlords or tenants must follow certain rules laid down in the regulations. In some cases it may be necessary for them to complete  a form  that proposes an action that may affect the other party to the tenancy agreement. The nine forms are listed below and can be downloaded.

These forms are known as _Prescribed Forms_ because the wording in them has been carefully drafted to ensure that the person completing the form and the person on whom it is served may understand what is being proposed and what they may do in response. Failure to serve the correct form may invalidate the action that is being proposed.

You may not alter the wording in these forms unless a form says you may do so. If you alter the wording, the form may be invalidated. You must also comply with any notice periods set out in the form.

These and other landlord and tenant forms may also be available to purchase from legal stationery companies. Legal stationers also supply tenancy agreements that have been carefully drafted to comply with the law. It is strongly recommended that landlords only use tenancy agreements that have been drafted to comply with relevant legal requirements.

If you are unsure about completing one of these forms or what to do if you have been served with one, you should seek legal advice. General information about assured and assured shorthold tenancies can be found on the _Private renting: tenants' rights and responsibilities (booklets and forms)_ and _Letting your property: landlords' rights and responsibilities (booklets and forms)_ pages.

  * **Form No.1: Notice proposing different terms for a Statutory Periodic Tenancy** (Product code: 07 HC 04777/1)
This form can be used by either a landord or a tenant to propose changes to the terms of a statutory periodic tenancy.
  * **Form No.2: Application referring a Notice proposing different terms for a Statutory Periodic Tenancy to a Rent Assessment Committee** (Product code: 07 HC 04777/2)
This form should be used by a landlord or a tenant who has been served with Form 1 - notice under Section 6(2) of the Housing Act 1988, varying the terms of a statutory periodic tenancy.
  * **Form No.3: Notice seeking possession of a property let on an Assured Tenancy or an Assured Agricultural Occupancy** (Product code: 07 HC 04777/3)
This form should be used by landlords where possession of accommodation, let under an assured tenancy, an assured agricultural occupancy or an assured shorthold tenancy is sought on one of the grounds in Schedule 2 to the Housing Act 1988.
  * **Form No.4B: Landlords'notice proposing a new rent under an Assured Periodic Tenancy of premises situated in England** (Product code: 07 HC 04777/4B)
This form should be used by landlords when proposing a new rent under an assured periodic tenancy (including an assured shorthold periodic tenancy) of premises situated in England.
  * **Form No.4C: Landlords' or Licensors' Notice proposing a new rent or licence fee under an Assured Agricultural Occupancy of premises** (Product code: 07 HC 04777/4C)
This form should be used by landlords when proposing a new rent or licence fee for an assured agricultural occupancy of premises situated in England.
  * **Form No.5: Application referring a Notice proposing a new rent under an Assured Periodic Tenancy or Agricultural Occupancy to a Rent Assessment Committee** (Product code: 07 HC 04777/5)
This form should be used by tenants when your landlord has served notice on you proposing a new rent under an assured periodic tenancy including an assured shorthold periodic tenancy or to refer a notice proposing a new rent or licence fee for an assured periodic agricultural occupancy.
  * **Form No.6: Application to a Rent Assessment Committee for a determination of a rent under an Assured Shorthold Tenancy** (Product code: 07 HC 04777/6)
This form should be used by a tenant with an assured shorthold tenancy which began (or for which a contract had been made) before 28 February 1997, to apply to the local rent assessment committee, during the fixed term of the original tenancy, to have the rent reduced.
  * **Form No.8: Tenants' notice proposing that an Assured Tenancy be replaced by an Assured Shorthold Tenancy** (Product code: 07 HC 04777/8)
This form should only be used by an assured tenant.  You should only use this notice to notify your landlord that you wish your assured tenancy to be replaced by an assured shorthold tenancy.  You should seek legal advice before completing this form.
  * **Form No.9: Landlords' notice proposing an Assured Shorthold Tenancy where the tenancy meets the conditions for an Assured Agricultural Occupancy** (Product code: 07 HC 04777/9)
If the agricultural worker condition in Schedule 3 to the Housing Act 1988 is met with respect to the property to which the proposed assured tenancy relates, and the landlord wishes that tenancy to be an assured shorthold tenancy, he must serve this notice on the tenant before the tenancy is entered into.",Free,7 November 2007,07-Nov-2007,Manuals leaflets and booklets,,http://www.communities.gov.uk/documents/housing/doc/Tenancyform1.doc,Form No.1: Notice proposing different terms for a Statutory Periodic Tenancy,http://www.communities.gov.uk/documents/housing/doc/tenancyform2.doc,Form No.2: Application referring a Notice proposing different terms for a Statutory Periodic Tenancy to a Rent Assessment Committee,http://www.communities.gov.uk/documents/housing/doc/tenancyform3.doc,Form No.3: Notice seeking possession of a property let on an Assured Tenancy or an Assured Agricultural Occupancy,http://www.communities.gov.uk/documents/housing/doc/tenancyform4b.doc,Form No.4B: Landlords' notice proposing a new rent under an Assured Periodic Tenancy of premises situated in England,http://www.communities.gov.uk/documents/housing/doc/tenancyform4c.doc,Form No.4C: Landlords' or Licensors' Notice proposing a new rent or licence fee under an Assured Agricultural Occupancy of premises,http://www.communities.gov.uk/documents/housing/doc/tenancyform5.doc,Form No.5: Application referring a Notice proposing a new rent under an Assured Periodic Tenancy or Agricultural Occupancy to a Rent Assessment Committee,http://www.communities.gov.uk/documents/housing/doc/tenancyform6.doc,Form No.6: Application to a Rent Assessment Committee for a determination of a rent under an Assured Shorthold Tenancy,http://www.communities.gov.uk/documents/housing/doc/tenancyform8.doc,Form No.8: Tenants' notice proposing that an Assured Tenancy be replaced by an Assured Shorthold Tenancy,http://www.communities.gov.uk/documents/housing/doc/tenancyform9.doc,Form No.9: Landlords' notice proposing an Assured Shorthold Tenancy where the tenancy meets the conditions for an Assured Agricultural Occupancy
http://www.communities.gov.uk/publications/housing/protectedareacriteria,department-for-communities-and-local-government,Criteria for designating an area as a protected area for the purpose of enfranchisement under the Leasehold Reform Act 1967,increasing-the-number-of-available-homes,,,,guidance,"Protected areas are those locations where shared ownership houses would be hard to replace if the shared owner subsequently purchased 100% shares and sold the property on the open market.

In accordance with section 302 of the Housing and Regeneration Act 2008, we are publishing the criteria which the Secretary of State will take into account in deciding which areas to designate as protected.  Applying protected areas status will ensure that properties are retained for future shared owners.",Free,4 August 2009,04-Aug-2009,Legislation and policy,9781409817710,http://www.communities.gov.uk/documents/housing/pdf/1303397,Criteria for designating an area as a protected area for the purpose of enfranchisement under the Leasehold Reform Act 1967,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/deliveringaffordablehousing,department-for-communities-and-local-government,Delivering affordable housing,increasing-the-number-of-available-homes,,,,guidance,"The aim of this document is to support local authorities and other key players in delivering more high quality affordable housing within mixed sustainable communities by using all tools available to them. It outlines the affordable housing challenge that needs to be met, and provides information on how existing delivery mechanisms operate to help in delivery.

While the details of the delivery mechanisms reflect the position in November 2006, and will be subject to change, most of this document will be robust to changes in future policy. Some parts are likely to evolve, and the Government would expect to update it periodically, especially if there are major policy developments. This document should be read in conjunction with Planning Policy Statement 3 (PPS3) Housing.",Free,29 November 2006,29-Nov-2006,"Good practice and guidance, Reports and summaries",,http://www.communities.gov.uk/documents/housing/pdf/152897.pdf,Delivering Affordable Housing,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/deliveringhousingadaptations,department-for-communities-and-local-government,Delivering housing adaptations for disabled people: a good practice guide,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"_This Good Practice guide, originally published in November 2004, has been amended to include a change in the law relating to childrens' means testing which came into effect in December 2005._

The primary purpose of this document is to advise local authorities on how they can establish a first class service which can deliver adaptations to the homes of disabled people in order to meet their needs and statutory entitlements.

The likely audience for the guide will be:

  * Senior managers in local authorities and other related service organisations responsible for organising the adaptations service.

  * Staff members who are responsible for:
  *     * identifying and assessing the needs of disabled people of all ages;
    * making recommendations about appropriate responses to meet the assessed needs;
    * preparing specifications and making the other practical arrangements to put those recommendations into practice; and
    * administering the systems for providing financial support, including Disabled Facilities Grant (DFG).",Free,4 June 2006,04-Jun-2006,Good practice and guidance,,http://www.communities.gov.uk/documents/housing/pdf/138595.pdf,Delivering Housing Adaptations for Disabled People: A Good Practice Guide - June 2006 Edition,http://www.communities.gov.uk/documents/housing/rtf/157302.rtf,Delivering Housing Adaptations for Disabled People: A Good Practice Guide - June 2006 Edition.,,,,,,,,,,,,,,
