123182,Advisory Council on the Misuse of Drugs,The classification of Cannabis under the Misuse of Drugs Act 1971 (2002),Policy paper,
123205,Advisory Council on the Misuse of Drugs,ACMD report on the major cannabinoid agonists,Independent reports,
123232,Advisory Council on the Misuse of Drugs,ACMD 1-benzylpiperazine (BZP) Report (2008),Independent reports,
151999,Advisory Council on the Misuse of Drugs,"ACMD meeting agenda, 29 March 2010",Transparency data,
102620,Airports Commission,Presentation on Airports Commission publications and how to respond,,
182117,Airports Commission,Discussion paper on aviation and climate change,,
9035,"Department for Business, Innovation & Skills",Open general export licence (certified companies),,
9040,"Department for Business, Innovation & Skills",Summary list of revoked open general licences,,
14313,"Department for Business, Innovation & Skills",Open general export licence (military components),,
14320,"Department for Business, Innovation & Skills",Open general export licence (chemicals),,
14326,"Department for Business, Innovation & Skills",Open general export licence (historic military vehicles and artillery pieces),,
14327,"Department for Business, Innovation & Skills",Open general export licence (exports or transfers in support of UK Government defence contracts),,
14329,"Department for Business, Innovation & Skills",Open general export licence (military and dual-use goods: UK force deployed in embargoed destinations),,
14340,"Department for Business, Innovation & Skills",Open general export licence (accompanied personal effects: sporting firearms),,
14346,"Department for Business, Innovation & Skills",Open general export licence (Government of Sierra Leone - acts likely to promote the supply or delivery of arms and related material to the Government of Sierra Leone),,
14353,"Department for Business, Innovation & Skills",Open general export licence (Iraq),,
14356,"Department for Business, Innovation & Skills",Open general export licence (radioactive sources),,
14428,"Department for Business, Innovation & Skills",Open general transhipment licence (sporting guns),,
14435,"Department for Business, Innovation & Skills",Open general transhipment licence (postal packets),,
16533,"Department for Business, Innovation & Skills",EC5 form (EC firearms and ammunition transfer declaration for Dealer-to-Dealer OIELs),,
16536,"Department for Business, Innovation & Skills",EC4 form (Annex to EC firearms and ammunition transfer document or declaration - continuation sheet for EC3 and EC5 Forms),,
16538,"Department for Business, Innovation & Skills",EC3 form (EC firearms and ammunition transfer dcoument for SIEL applications),,
16644,"Department for Business, Innovation & Skills","Notification for Iran oil, gas and petrochemical contractual exemption",,
16646,"Department for Business, Innovation & Skills",Notification for contractual exmption of prohibited items supplied to Syria,,
16647,"Department for Business, Innovation & Skills",Consolidated EU and national arms export licensing criteria,,
16650,"Department for Business, Innovation & Skills",Summary list of the scope and coverage of European Union General Export Authorisations,,
16889,"Department for Business, Innovation & Skills",Compliance Code of Practice,,
16891,"Department for Business, Innovation & Skills",Compliance visits explained,,
16893,"Department for Business, Innovation & Skills",Guidance on the export of technology,,
16896,"Department for Business, Innovation & Skills",Guidance to industry on the implementation of the Export of Radioactive Sources (Control) Order 2006,,
16898,"Department for Business, Innovation & Skills",Guidance on the transfer abroad of controlled military technology and software by electronic means,,
16900,"Department for Business, Innovation & Skills",Guidance on the supplementary WMD End-Use Controls (including provision of technical assistance),,
16901,"Department for Business, Innovation & Skills",Export Control Organisation: Service and Performance Code,,
16903,"Department for Business, Innovation & Skills",Guidance on ‘trafficking and brokering’ (trade controls) of controlled military goods,,
16904,"Department for Business, Innovation & Skills",Guidance on transit and transhipment controls,,
16906,"Department for Business, Innovation & Skills",Iran List,,
17579,"Department for Business, Innovation & Skills",List of international non-proliferation regime members,,
45385,"Department for Business, Innovation & Skills",Buy better together community challenge: terms and conditions,,
45395,"Department for Business, Innovation & Skills",Groceries Code Adjudicator Bill (Draft),,
45404,"Department for Business, Innovation & Skills",Changes to the Local Better Regulation Office: consultation,,
45405,"Department for Business, Innovation & Skills",Know your consumer rights campaign: case study,,
45407,"Department for Business, Innovation & Skills",Local Better Regulation Office consultation: government response,,
45419,"Department for Business, Innovation & Skills",Impact of regulation on small businesses,,
45420,"Department for Business, Innovation & Skills",Reducing regulation and improving business growth in Europe,,
45423,"Department for Business, Innovation & Skills","One-in, one-out rule regulations: 1 January to 20 December 2011",,
45424,"Department for Business, Innovation & Skills","One-in, one-out rule regulations: 1 January to 30 June 2012",,
45425,"Department for Business, Innovation & Skills","One-in, one-out rule regulations: 1 July to 31 December 2012",,
45431,"Department for Business, Innovation & Skills",Better regulation made simple: guide for policy makers,,
45432,"Department for Business, Innovation & Skills",Removing unnecessary retail and manufacturing regulations (red tape challenge): consultation,,
45433,"Department for Business, Innovation & Skills",Removing unnecessary retail and manufacturing regulations (red tape challenge): government response,,
45435,"Department for Business, Innovation & Skills",Simplifying regulation and administration of businesses: final report,,
45436,"Department for Business, Innovation & Skills",Reducing alcohol misuse: social marketing campaign,,
45437,"Department for Business, Innovation & Skills",Regulation of advertising in the media,,
45438,"Department for Business, Innovation & Skills",Credit and store card regulations and users rights: case study,,
45439,"Department for Business, Innovation & Skills",Regulation of injectable cosmetic treatment providers,,
45440,"Department for Business, Innovation & Skills",Sunset clauses and regulations,,
45444,"Department for Business, Innovation & Skills","Salt reduction programme (Food Standards Agency, 2004): case study",,
45447,"Department for Business, Innovation & Skills",Audit exemptions and change of accounting framework proposals: consultation responses,,
45449,"Department for Business, Innovation & Skills",Audit exemptions and change of accounting framework proposals: consultation report,,
