old_url,Title,Summary,Body,First published,Policy 1,Policy 2,Organisation,Minister 1,Minister 2
http://www.dft.gov.uk/news/press-releases/dft-press-20120712a,Transport statistics 12 July 2012,The Department for Transport has today published the following Transport Statistics on Accessibility statistics: 2011.,"The Department for Transport has today published the following Transport Statistics:

  * [Accessibility statistics: 2011](/statistics/releases/accessibility-statistics-2011)

for details.

See [statistics](/statistics) for details on all recent transport statistics releases.

These Official Statistics are published according to arrangements approved by the UK Statistics Authority.

Press Enquiries: 020 7944 3066  
Out of Hours: 020 7944 4292  
Public Enquiries: 0300 330 3000",7/12/2012,making-transport-more-accessible-to-all,,Department for Transport,,
http://www.dft.gov.uk/news/press-releases/dft-press-20120709a,Blue Badge consultation opens,The Department for Transport is consulting on proposed changes for assessing eligibility for blue disabled parking badges.,"The Department for Transport is [consulting on how to bring the process for assessing eligibility for blue disabled parking badges](/consultations/dft-2012-30/) in to line with the wider reform of disability benefits announced by the Department for Work and Pensions.

The Department's preferred option for bringing the process in line with new legislation is not expected to significantly affect the overall numbers of people entitled to blue badges.

Currently, people are [entitled to a blue badge](/topics/access/blue-badge) if they receive a certain component of the Disability Living Allowance (DLA) that relates to mobility.

The DLA is being replaced by the Personal Independence Payment (PIP) and so the Department needs to look at the way the Blue Badge system is administered to ensure a smooth transition when the new benefits structure is introduced.

The consultation published today outlines the options under consideration. The Department's preferred option is to ensure decisions are consistent, using the criteria in the new PIP system that most closely correspond to those currently used by local authorities to carry out their own assessments.

## Related documents

  * [Personal Independence Payment and eligibility for a Blue Badge, statement by the Parliamentary Under Secretary of State for Transport, 9 July 2012](/news/statements/baker-20120709a/)

## Notes to Editors

  1. The [consultation is now available on the DfT website](/consultations/dft-2012-30/).
  2. It will run until 2 October 2012.

Press Enquiries: 020 7944 3066  
Out of Hours: 020 7944 4292  
Public Enquiries: 0300 330 3000",7/9/2012,making-transport-more-accessible-to-all,,Department for Transport,,
http://www.dft.gov.uk/news/press-releases/dft-press-20120614c,DfT weighs ways to access disability advice,Announcement of a consultation outlining a number of options for securing future advice should the decision be taken to abolish DPTAC.,"The Department for Transport is looking at how it can best access specialist advice on the practical issues faced by people with disabilities when travelling.

The Government's review of Non-Departmental Public Bodies in 2010, recommended that the Disabled Persons' Transport Advisory Committee (DPTAC) be abolished as part of wider goals to increase accountability, reduce duplication of activity and improve transparency.

However, the Department needs to ensure continued access to high quality, balanced advice on the particular issues faced by people with disabilities when travelling. Today's consultation outlines a number of options for securing future advice should the decision be taken to abolish DPTAC.

The consultation will run from 11 June 2012 for 14 weeks closing on 14 September 2012 and can be [found on the Department for Transport's website](/consultations/dft-2012-21/)

## Related documents

  * [DPTAC website](http://dptac.independent.gov.uk/)

## Notes to Editors

  1. DPTAC is a statutory body established by the Transport Act 1985. Its function is to provide independent advice to Government, by presenting a pan-disability view on matters relating to disabled travellers in the development of transport policy and any associated legislation, regulation and guidance.

Press Enquiries: 020 7944 3066  
Out of Hours: 020 7944 4292  
Public Enquiries: 0300 330 3000",6/14/2012,making-transport-more-accessible-to-all,,Department for Transport,,
http://www.dft.gov.uk/news/press-releases/dft-press-20120405a,Bank holiday bike rides made simple,Help is on hand for those looking to plan the perfect bike ride over the Easter break.,"Help is on hand for those looking to plan the perfect bike ride over the Easter break, Local Transport Minister Norman Baker announced today.

Any cyclist, from enthusiasts planning a fun and healthy countryside ride over the long weekend to families looking for a safe, pretty route linking city parks can benefit from the Department for Transport's online cycling journey planner.

Part of the Transport Direct Portal, the planner now covers every road in England. Cyclists tap in their planned start and end points and the tool calculates a route that suits.

Users can easily tweak the settings to meet their needs, filtering journeys to select the quickest, quietest or most recreational routes - those which take them through parks and green spaces. The planner can even plot routes avoiding steep hills.

Norman Baker said:

>Cycling is a fantastic leisure activity that's becoming increasingly popular, and rightly so.

>It's good fun, it's good for the environment and it's good for your health. Indeed, the Chief Medical Officer has suggested that if cycling were discovered today it would be hailed as a miracle cure.

>Our route planner helps people wanting to get out and about and enjoy cycling, as well as those who want to map the best bike route to work.

As well as being great for those cycling for leisure, the planner is also designed to be used by those commuting by bike, who can use the online tool to find a well-lit, direct route to and from work.

The Transport Direct Portal receives more than 2 million visits a month and increasing numbers of people are using the website to plan their journeys by bike.

## Notes to Editors

1. The Cycle Route Planner can be found online at: It can be found online at: [http://www.transportdirect.info/Web2/JourneyPlanning/FindCycleInput.aspx](http://www.transportdirect.info/Web2/JourneyPlanning/FindCycleInput.aspx)

2. The Transport Direct Portal provides information, tips and tools to help the travelling public. This includes information on planning trips using other modes of transport, live travel news providing updates on issues that may affect people's journeys and advice on cutting carbon emissions and buying the cheapest rail tickets.

3. The planner allows users to plot journeys of up to 50km, choosing from a number of different parameters. Users may select their type of journey using the following options:

  * ""Quietest"" prioritises the use of cycle paths, cycle lanes, quiet streets and routes recommended for cycling, and where possible avoids steep hills.
  * ""Quickest"" plots a route with the shortest cycling time, taking into account the gradient and appropriate speed for the paths and roads involved.
  * ""Most recreational"" prioritises cycling through parks and green spaces in addition to the other parameters outlined above under ""Quietest"".
  * Additional options allow users to select routes avoiding unlit roads, steep hills or routes where cyclists would need to get on and off their bikes.",4/5/2012,making-transport-more-accessible-to-all,,Department for Transport,parliamentary-under-secretary-of-state--30,
http://www.dft.gov.uk/news/press-releases/dft-press-20111117,Transport statistics 17 November 2011,Blue badge scheme statistics for 2010/11,"The Department for Transport on Thursday 17th November published the following Transport Statistics:

  * [Blue badge scheme statistics: 2010/11](/statistics/releases/blue-badge-scheme-statistics-2010-11)

See the [statistics section](/statistics) for details on all recent transport statistics releases.

These Official Statistics are published according to arrangements approved by the UK Statistics Authority.

Press Enquiries: 020 7944 3066  
Out of Hours: 020 7944 4292  
Public Enquiries: 0300 330 3000",11/17/2011,making-transport-more-accessible-to-all,,Department for Transport,,
http://www.dft.gov.uk/news/press-releases/dft-press-20110530,Supermarkets support government crack down on blue badge abuse,Support from major supermarket chains for government's drive to eradicate blue badge abuse.,"Following major reforms to the Blue Badge scheme announced earlier this year, seven major supermarket chains have now given their support for the Government's drive to eradicate Blue Badge abuse.

Responding to the concerns of disability groups, Local Transport Minister Norman Baker wrote to all major supermarkets urging them to do what they could to enforce the scheme on their premises. So far Aldi, Marks and Spencer, Morrisons, Sainsbury's, Tesco, Waitrose and Lidl have all responded positively in support of the Government's drive to ensure strict enforcement of the parking bays in their car parks which are privately owned. 

Norman Baker said:

>Many disabled people and disability groups have told me about the problems they have in finding a disabled bay at supermarkets because of their abuse by people who have no justification for parking in reserved spaces. 

>I am delighted to have secured the support of the major supermarket groups and to know that they share my view that abuse of Blue Badge parking bays needs to be tackled, protecting customers who rely on such spaces. I hope other large retailers will now follow suit and consider what action they can take to help their Blue Badge customers.

The badges provide a vital lifeline to over 2.5 million disabled people every year by prioritising key parking spaces close to important services. However, rising levels of badge fraud have prevented those who genuinely need to use the parking spaces from doing so.

The seven supermarkets have said that drivers found abusing designated disabled bays will be issued with parking charge notices in some circumstances, alongside other measures including car park patrols, leafleting of vehicles and requests over in-store tannoys. 

The major reforms to the Blue Badge scheme announced by Norman Baker earlier this year include a new badge design that is harder to forge, as well as improved enforcement powers for local authorities. However, the scheme does not cover privately owned car parks. The support of supermarkets is therefore an important step in ensuring wider enforcement of the scheme. 

Following a competitive procurement exercise, Northgate Public Services and Payne Security have been awarded a contract to help make improvements to the Blue Badge scheme, which will include:

* Shared administration between authorities including an online eligibility checker and an online application form available via Directgov, resulting in faster renewals, reduced abuse and operational savings; 

* a secure central database of all Blue Badges on issue and key information on badge holders that will enable fraud prevention and better enforcement;

* secure printing, personalisation and distribution of the new Blue Badge design provided by Northgate's partner, Payne Security.

A Lidl spokesperson said:

>At Lidl, we are fully committed to assisting the Department for Transport's successful implementation and modernisation of the Blue Badge scheme. We will continue our ongoing, effective monitoring of our car parks and enforcement methods to prevent abuse of the disabled parking bays at our stores.

Gwyn Burr, Sainsbury's Customer Service and Colleague Director, said: 

>We know the Blue Badge scheme is an issue close to our customers' hearts. In 2009 we became the first supermarket to actively manage all of the disabled bays within our car parks and this led to a reduction in the misuse of these spaces, a fact recognised by the Baywatch survey last year. We are very pleased to support this campaign.

Mark Gunter, Group Retail Director of Morrison's, said: 

>We have always been concerned about the abuse of disabled parking spaces and we will penalise those able-bodied drivers that incorrectly park in spaces allocated for blue-badge drivers. However, we also depend on the public to help us ensure that these parking bays remain available for disabled drivers.

The new service delivery improvements to the Blue Badge scheme will be operational from 1st January 2012.

The capital costs involved in the development of the system will be funded by Northgate and Payne Security, who will re-coup their investment over the lifetime of the five-year contract via a charge to local authorities per badge issued.

Dave Meaden, Chief Executive of Northgate Public Services said:

>The Blue Badge scheme is an essential service for disabled people. We are committed to making it more effective for the millions who rely on it. This innovative programme is focused on enhancing vital local services through preventing abuse, improving delivery and planning for increased demand in the future. In difficult times, it shows that improvements for people really can be achieved through new ways of working and using resources.

**Notes to Editors**

  * There are 2.55 million badge holders in England and demand is rising significantly in line with the average age of the population. Current levels of abuse are high as the financial benefits of having a badge are significant. Consultations with disabled people, local authorities and other stakeholders have demonstrated a large amount of support for changes to be made to ensure the long term sustainability of the scheme for those who rely on it the most. This includes reforms that will help to ensure a fair allocation of badges, deliver efficiency savings and improve customer services and to tackle and reduce current levels of abuse.
  * The Blue Badge scheme only applies to on-street parking. Private off-street car parks, such as those at supermarkets, are on private land and the charges and conditions of use are essentially a contractual matter between the owner and the motorist. However, the Equality Act 2010 requires providers of services, including car park operators, to take reasonable steps to ensure disabled people are not substantially disadvantaged compared to non-disabled people, when accessing their services. This has implications for car park operators who may have to demonstrate that, as well as marking out disabled person's parking spaces, they have taken reasonable steps to ensure that they are available to disabled people.
  * Amongst the services available from the Blue Badge Improvement Service will be an on-line eligibility checker and an application form. This will enable people to quickly discover whether or not they may be eligible for a Blue Badge and, if they are, to then complete an on-line application form that will be sent through the system to the relevant issuing local authority. The local authority will make, as now, the decision on whether or not the individual should receive a badge. 
  * Full details of the Blue badge reforms announced in February

**Press enquiries: 020 7944 3118**  
**Out of hours: 020 7944 4292**  
**Public enquiries: 0300 330 3000**",5/30/2011,making-transport-more-accessible-to-all,,Department for Transport,parliamentary-under-secretary-of-state--30,
http://www.dft.gov.uk/news/press-releases/dft-press-20110214,Government crackdown on Blue Badge abuse ,The Government is implementing major reforms to crack down on drivers who abuse the disabled parking system.,"The Government is implementing major reforms to crack down on drivers who abuse the disabled parking system as part of the most comprehensive changes to the Blue Badge scheme for 40 years, Transport Minister, Norman Baker, announced today.

Blue Badges provide a vital lifeline to over 2.5 million disabled people every year by prioritising key parking spaces close to important services. However increasing levels of badge fraud mean those who genuinely need to use these parking spaces often find themselves displaced by people who do not. In addition, the Government estimates that badge fraud is now costing the UK an estimated £46m a year, and is giving Councils tough new powers to tackle this growing issue. 

There have been very few changes to the Blue Badge scheme since it was introduced in the 1970s and the Government believes that it is in need of modernisation. 

The measures, which will start to come into force from April this year, include:

  * Providing local authorities with an on-the-spot power to recover badges that have been cancelled and misused; 
  * Shared administration between authorities - including an online application facility - resulting in faster renewals, reduced abuse and operational efficiency savings of up to £20 million a year;
  * Wider use of independent mobility assessments to determine eligibility, including where previously that assessment was carried out by a GP; and support for this by giving local authorities control of National Health Service spend on Blue Badge assessments;
  * The replacement of handwritten badges with standard electronic ones which are harder to alter and forge;
  * Extending the scheme to more disabled children under three years of age and severely disabled Armed Forces personnel and veterans; and removing residency requirements for disabled service personnel and their families who are posted overseas on UK bases

In order to finance the improvements, the maximum fee for a badge that local authorities can charge will rise from £2 to £10. This is the first increase in cost for 30 years and the Government believes that, in return, badge holders will benefit from less abuse, improved accessibility and better customer services.

Transport Minister, Norman Baker, said:

>The Blue Badge Scheme makes a real difference to millions of disabled people every day. However, it is clear that it is in real need of modernisation after forty years without major reform.

>Such are the high levels of fraud in the current system that 50% of Blue Badge holders now find it difficult to get a parking space and Blue Badge fraud is estimated to cost £46m a year.

>The changes I am announcing today will crack down on Blue Badge misuse, modernise the system and extend eligibility to other groups such as more disabled children under three and severely disabled war veterans and service personnel. These improvements will mean that Blue Badge holders get a much better service for less than 1p per day.

Dai Powell OBE, Chair of the Disabled Persons Transport Advisory Committee (DPTAC) said:

>These proposals can bring us one step nearer to a fairer and more consistently applied scheme. DPTAC hope to continue working closely with the Department as it implements these measures to ensure they lead to better outcomes for disabled people.

Helen Dolphin, DPTAC Member and Director of Policy and Campaigns at Mobilise said:

>We are pleased DfT have addressed some of the anomalies providing greater clarity to those who administer the scheme. One of the major criticisms has been the extent of regional variation in the administration. We hope local authorities will recognise the benefits these measures will offer in support of a consistent and uniform approach.

##  Notes to editors 

  * There are 2.55 million badge holders in England and demand is rising significantly in line with the average age of the population. Current levels of abuse are high as the financial benefits of having a badge are significant. Consultations with disabled people, local authorities and other stakeholders have demonstrated a large amount of support for changes to be made to ensure the long term sustainability of the scheme for those who rely on it the most. This includes reforms that will help to ensure a fair allocation of badges, deliver efficiency savings and improve customer services and to tackle and reduce current levels of abuse. 
  * The reforms being announced today
  * A decision has been deferred until later in the year on whether or not to extend eligibility for a badge to people with temporary disabilities lasting at least one year, pending the outcome of independent research into the likely impacts on existing holders and local authorities. 
  * Many of the changes will be implemented within a year. The reforms that involve changing primary legislation will take longer as they will depend on the availability of Parliamentary time. A full impact assessment has been prepared which details the costs and benefits of the above reforms. This shows an overall net benefit for local authorities and no costs to the private sector.
  * Also being published today is a summary of responses to a consultation that ran between March and July 2010.
  * The consultation covers England only as the Blue Badge scheme is a devolved matter. The National Fraud Authority estimates Blue Badge fraud to be costing an estimated £46 million per year.

Press enquiries: 020 7944 3118  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",2/14/2011,making-transport-more-accessible-to-all,,Department for Transport,parliamentary-under-secretary-of-state--30,
http://www.dft.gov.uk/news/press-releases/dft-press-20101118,Transport statistics 18 November 2010,Latest Blue badge scheme statistics for 2009/10.,"The Department for Transport has today published the following transport statistics:

  * [Blue badge scheme statistics: 2009/10](/pgr/statistics/datatablespublications/public/parkingbadges/)

Details on [all recent transport statistics ](/pgr/statistics/) releases.

These Official Statistics are published according to arrangements approved by the UK Statistics Authority. 

Press enquiries: 020 7944 3118  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",11/18/2010,making-transport-more-accessible-to-all,,Department for Transport,,
http://www.dft.gov.uk/news/press-releases/dft-press-2010-1014,DfT announces reform of public bodies ,"Department for Transport public bodies to be abolished, reformed or brought inhouse.","The Department for Transport today announced significant reforms to a number of its public bodies following a cross-Government review.

The organisations to be abolished as public bodies are:

  * Cycling England
  * Disabled Persons Transport Advisory Committee (DPTAC);
  * Renewable Fuels Agency (RFA);
  * The Railway Heritage Committee;
  * The Commission for Integrated Transport; and
  * BRB (Residuary) Ltd.

Key functions of Cycling England and RFA will be brought in-house and successor arrangements for DPTAC will be consulted on.

One further body - Passenger Focus - will be retained, but substantially reformed to focus on the core role of protecting passengers while reducing costs to taxpayers.

Transport Secretary, parliamentary-under-secretary-of-state--31, said: 

>Reducing the number of quangos on our books is vital to delivering transparent and accountable public services and will make an important contribution towards reducing the deficit.

>We are ensuring that only those bodies that absolutely need to continue as independent bodies are retained either in their current form or significantly slimmed down. The remainder we will either scrap, reform, or arrange for their functions to be delivered in-house without the need for separate arms-length bodies.

>I am confident that these reforms will significantly increase accountability, enhance public confidence in Government and make important savings, whilst continuing to meet our responsibilities to the travelling public.

The move is part of the Government-wide reform to increase accountability, deliver smaller government and improve efficiency, across Whitehall. 

Cycling England was set up as the independent expert body to advise on the promotion of cycling. The Government believes that this work can now be better delivered within the Department through the newly announced Local Sustainable Transport Fund. Bikeability - cycle proficiency for the 21st Century - will be supported for the remainder of this Parliament. DfT is also considering establishing an expert panel on wider sustainable travel which would promote cycling as part of the wider green agenda.

The Department will continue to ensure transport policies promote equality. However the legislation governing the **Disabled Persons Transport Advisory Committee (DPTAC)** is now 25 years old, and there is scope to reform the way disability advice is delivered to increase flexibility and accountability to the taxpayer. The Department will therefore consult on successor arrangements.

The Renewable Fuels Agency (RFA) administers the Renewable Transport Fuel Obligation and provides a source of expert advice on biofuel sustainability but there is now scope to transfer its functions to the Department for Transport. The Department will work with the RFA to consider how best to achieve this transition and to ensure that potential savings are realised.

The Railway Heritage Committee (RHC) is responsible for designating railway artefacts and records of historical importance. The Government believes that the RHC can not be justified as no equivalent protection applies to the heritage of any other transport sector. The RHC will therefore be abolished. 

The Commission for Integrated Transport (CfIT) was established in 1999 to provide independent advice to Government on integrated transport policy in England via evidence-based research. However the department has concluded that the emphasis should now be on high-level strategic advice rather than detailed research. This can be achieved more cost effectively by the Department for Transport engaging directly with experts through a new informal strategic transport advisory group, rather than an arms length body.

BRB (Residuary) Ltd is responsible for discharging the residual functions of the British Railways Board following the divestment of British Rail's operating railway functions in 1997. BRBR will be wound up in due course once its programme of asset disposals is complete and its remaining statutory functions will transfer to the direct control of the Department for Transport.

##  Notes to editors 

  1. The Cabinet Office has published a [full list of reforms](http://www.cabinetoffice.gov.uk/news/public-body-review-published/) to the Government's Public Bodies 
  2. Non-Departmental Public Bodies (NDPBs) or quangos (Quasi-autonomous non-government organisation) are defined as bodies which have a role in the processes of national government but are not government departments are not government departments or part of one and which accordingly operate to a greater or lesser extent at arm's length from Ministers. This includes:  
* Executive NDPBs, eg grant or service delivery, regulatory or training providersd  
* Advisory NDPBs, e.g. scientific committees or pay review bodies;  
* In addition, for this reform process some non-ministerial departments and some public corporations are being included in the scope.
  1. Following this review process the Department's remaining public bodies are:  
* British Transport Police Authority  
* Channel Tunnel Section 1 Finance PLC  
* Civil Aviation Authority  
* Directly Operated Railways Ltd  
* High Speed Two Ltd  
* London and Continental Railways Ltd  
* London and Continental Railways Finance PLC  
* Northern Lighthouse Board  
* Office of Rail Regulation  
* Passenger Focus (Passengers' Council)  
* Traffic Commissioners and Deputies  
* Trinity House Lighthouse Service
  1. All of the retained Bodies will have met one of the three tests:  
* Performing a technical function;  
* Requiring political impartiality; or  
* Needing to act independently to establish facts.

Press enquiries: 020 7944 3118  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000

 
",10/14/2010,making-transport-more-accessible-to-all,,Department for Transport,parliamentary-under-secretary-of-state--31,
http://www.dft.gov.uk/news/press-releases/dft-press-20120712b,Foundations laid for future growth of aviation as government unveils long-term strategy,Transport Secretary Justine Greening has published the draft aviation policy framework.,"More frequent flights to emerging markets, improved access to airports - including £500m towards a new rail link to Heathrow - and a reduction in the impact of airports on local communities is to be put at the heart of UK aviation strategy Transport Secretary Justine Greening has said, as she published the Government's long-term vision for the sector today.

The [draft policy framework](/consultations/dft-2012-35), which will form the basis of future sustainable aviation growth in the UK, has been developed following discussions with the industry. The framework also includes a package of measures which will quickly deliver operational improvements and boost economic growth within existing airport capacity constraints.

The measures include:

  * Further liberalisation of the UK aviation market to encourage foreign airlines to develop routes from airports other than Heathrow;
  * Improving reliability and reducing delays at Heathrow. If operational freedoms show clear benefits in terms of resilience, reducing delays and allowing planes to land more effectively, thereby reducing the impact of noise for residents under the flight path, then the Government will consult on making these benefits permanent;
  * Addressing the environmental and local impacts of aviation through: 
    * pushing for international action on aviation emissions while continuing to support EU Emissions Trading Scheme;
    * incentivising noise reduction though higher landing fees for noisier aircraft at unsociable hours and higher penalties for breaching noise limits at any time;
  * £500m towards a western rail link to Heathrow, which is in addition to £1.4bn already being invested to improve surface access to airports, including £44m towards upgrading Gatwick Airport station and a new fleet of thirty electric trains already improving services on the Stansted Express. In addition the Government is pressing ahead with HS2 which will significantly improve access to airports such as Birmingham and Manchester;
  * Improving efficiency at the border, including a review of the UK's visa regime, bringing forward the recruitment of 70 additional border staff at Heathrow and working with the US authorities to look at the options for speeding up entry into the US.
  * Supporting the introduction of new rules by airport operators to maximise their existing capacity, for example through limiting access to smaller aircraft;
  * Introducing airport performance charters which will set out the level of service that airlines and their passengers should expect from airport operators;
  * Improving the overall passenger experience through the Civil Aviation Bill which is expected to gain Royal Assent in 2013.

A separate call for evidence on how to maintain the UK's international connectivity and hub status will follow later in the year once the industry has had time to consider the measures put forward for consultation today.

Transport Secretary Justine Greening said:

>This framework aims to strike a balance between allowing the aviation industry to make the most of our current capacity, while also recognising the need for a tough regime to tackle levels of noise experienced by residents on the ground.

>London is already one of the best connected cities in the world, but there is still an important but challenging debate to be had on how we accommodate the long-term growth of aviation. This framework provides the building blocks for this debate and I look forward to working with the industry, residents and other interested parties on this once they have had the chance to consider these measures.

Today's draft Aviation Policy Framework document has been published on the Department for Transport's website and is subject to full public consultation, lasting until 31st October.

## Notes to editors

  1. The [Aviation Policy Framework consultation document](/consultations/dft-2012-35) is available on the Department for Transport website.
  2. Today's publication follows an exercise last year to seek industry and other stakeholder views on the future shape of aviation policy through the [scoping document: Developing a Sustainable Framework for Aviation](/consultations/dft-2011-09).
  3. The Western Rail Access to Heathrow project will be included in the Government's forthcoming High Level Output Specification for the railways (HLOS) announcement. The project is subject to a satisfactory business case and the agreement of acceptable terms with the Heathrow aviation industry.",7/12/2012,increasing-international-competitiveness-of-uk-airlines-and-airports,managing-improving-and-investing-in-the-road-network,Department for Transport,secretary-of-state-for-transport,
