Count,Name,Department,Classification,PB Reform,Regulatory Function,Description / Terms of Reference,Notes,Address,Phone,email,Website,Chair,DV - Chair's Remuneration (p.a. unless otherwise stated and may represent a theoretical mean),Chief Executive / Secretary,DV - Chief Executive / Secretary Remuneration (p.a. and may represent a theoretical mean),Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Audit Arrangements,Government Funding,Total Gross Expenditure,Staff Employed (FTE),OCPA Regulated
1,Advisory Committee on Business Appointments,Cabinet Office,Advisory NDPB,Retain,No,The Committee provides independent advice when a senior civil servant or former Minister leaves Government and wants to take up a new job.,Established 1975.  Staff are joint secretariat with House of Lords Appointments Committee. Triennial review due 2013.,"G/7, Ground Floor, 1 Horse Guards Road, London SW1A 2HQ",020 7271 0839,acoba@acoba.gsi.gov.uk  ,http://acoba.independent.gov.uk/ ,Lord Lang of Monkton,,Ekpe Attah,Civil Servant,No,Yes,Yes,,2011-12,,,,"163,478",3,Yes
1,Big Lottery Fund,Cabinet Office,Executive NDPB,Retain,No,The Big Lottery Fund distributes its share of Lottery good causes money to bring real improvements to communities and the lives of people most in need.,"Predecessor body established 1994; BIG established 2006.  CEO Peter Wanless left 31/5/13; acting CEO 1/6/13 to 30/9/13 Ceri Doyle; new CEO - Dawn Austwick - takes up post 1/10/13.  CE's remuneration is for Dawn Austwick, for a full year.  Nil government funding - funded from Lottery proceeds.  Triennial Review due 2013.","1 Plough Place, London, EC4A 1DE",020 7211 1800,general.enquiries@biglotteryfund.org.uk ,http://www.biglotteryfund.org.uk/,Peter Ainsworth,28800,Dawn Austwick,182500,No,Yes,Yes,PHSO,2012-13,,NAO,0,"773,286",988,Yes
1,Boundary Commission for England,Cabinet Office,Advisory NDPB,,No,The Commission’s statutory function is to keep under review the distribution of constituencies in England and to make reports with recommendations every 5 years in accordance with the provisions of the Parliamentary Constituencies Act 1986 (as amended).,"Established 1944.  The Chair of the Commission is the Speaker of the House of Commons ex officio, but in practice he does not participate in the formulation of the Commission’s recommendations, nor in the conduct of reviews.","1 Horse Guards Road, London SW1A 2HQ",020 7276 1102,information@bcommengland.gsi.gov.uk,http://consultation.boundarycommissionforengland.independent.gov.uk/,Speaker of the House of Commons (ex officio),0,Tony Bellringer,Civil Servant,No,Yes,Yes,PHSO,2012-13,,,"2,473,717","1,642,464",11,Yes
1,Boundary Commission for Wales,Cabinet Office,Advisory NDPB,,No,The Commission’s statutory function is to keep under review the distribution of constituencies in Wales and to make reports with recommendations every 5 years in accordance with the provisions of the Parliamentary Constituencies Act 1986 (as amended).,"Established 1944.  The Chair of the Commission is the Speaker of the House of Commons ex officio, but in practice he does not participate in the formulation of the Commission’s recommendations, nor in the conduct of reviews.","Ground Floor, Hastings House, Fitzalan Place, Cardiff, CF24 OBL",02920 464819,bcomm.wales@wales.gsi.gov.uk,http://bcomm-wales.gov.uk,Speaker of the House of Commons (ex officio),0,Ben Whitestone,Civil Servant,No,Yes,Yes,PHSO,2012-13,,,"327,336","327,336",4,Yes
1,Civil Service Commission,Cabinet Office,Executive NDPB,,Yes,Regulates recruitment to the Civil Service,"Established 1855, NDPB since 2011. Triennial review due 2013. Members are Fee Paid.","1 Horse Guards Road, London, SW1A 2HQ",020 7271 0831,info@csc.gsi.gov.uk,http://civilservicecommission.independent.gov.uk/,Sir David Normington GCB,,Vacant (was Dr Richard Jarvis),Civil Servant,No,Yes,Yes,,2012-13,,NAO,,,9,No
1,Committee on Standards in Public Life,Cabinet Office,Advisory NDPB,Retain,No,"The Committee examines standards of ethical conduct among public office holders in the UK and makes recommendations to the government as to any changes in present arrangements, including those relating to party funding.",Established 1994.,"1 Horse Guards Road, London, SW1A 2HQ",020 7271 0853,public@standards.gsi.gov.uk,http://www.public-standards.gov.uk/,Sir Christopher Kelly KCB,,Dr Hannah White,Civil Servant,No,Yes,Yes,PHSO,2012-13,2013,Overseen by the Cabinet Office Accounting Officer,"560,000","517,612",4,Yes
1,Government Procurement Service,Cabinet Office,Executive Agency,,No,The Government Procurement Service exists to deliver centralised procurement strategy and achieve sustainable savings for taxpayer.,Established as Buying Agency in 1991.  The Government Procurement Service and other teams will come together to form the Crown Commercial Service.  David Shields was MD until June 2013.,"9th Floor Capital Building, Old Hall Street, Liverpool L3 9PP",0345 410 2222,info@gps.gsi.gov.uk,http://gps.cabinetoffice.gov.uk/,Bill Crothers,0,MD - Sally Collier,Civil Servant,No,No,Yes,PHSO,2012-13,,NAO,,"29,791,000",378,Yes
1,House of Lords Appointments Commission,Cabinet Office,Advisory NDPB,Retain,No,The Commission's role is to select new independent members of the House of Lords and to vet party-political nominations put forward by the political parties.,Established 2000.  Staff are joint secretariat with Advisory Committee on Business Appointments.,"G5, Ground Floor, 1 Horse Guards Road, London SW1A 2HQ",020 7271 0848,enquiry@lordsappointments.gsi.gov.uk,http://lordsappointments.independent.gov.uk/,Lord Jay of Ewelme,,Clare Salters,Civil Servant,No,Yes,Yes,,2011-12,2013,,,"118,997",3,Yes
1,Security Vetting Appeals Panel,Cabinet Office,Advisory NDPB,Retain,No,To hear appeals against the refusal or withdrawal of security clearance and to make recommendations to the appropriate head of department.,Established 1997.,"The Secretary, Security Vetting Appeals Panel, Room 335, Cabinet Office, 70 Whitehall, London SW1A 2AS.",020 7276 5645,svap@cabinet-office.x.gsi.gov.uk,,Sir George Newman,14523,Martin Sterling,Civil Servant,No,No,Yes,,2012,2013,,"56,000",,2,Yes
1,Senior Salaries Review Body,Cabinet Office,Advisory NDPB,Retain,No,"The Review Body on Senior Salaries provides independent advice to the Prime Minister, the Lord Chancellor and the Secretary of State for Defence on the remuneration of holders of judicial office; senior civil servants; senior officers of the armed forces; and other such public appointments as may from time to time be specified. ",Established 1971.  Members are paid per day.,"Office of Manpower Economics, 6th Floor, Victoria House, Southampton Row, London, WC1B 4AD",020 7271 0493,neil.higginbottom@bis.gsi.gov.uk ,http://www.ome.uk.com/Senior_Salaries_Review_Body.aspx,"Bill Cockburn, CBE TD",11550,,,No,No,Yes,,,2011,NAO,"51,150","2,000,000",0,Yes
