Count,Name,Department,Classification,PB Reform,Multiple Bodies,Regulatory Function,Description / Terms of Reference,Notes,Address,Phone,email,Website,Chair,Chair's Remuneration (PA unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretart Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Audit Arrangements,Government Funding,Total Gross Expenditure,Staff Employed (FTE),OCPA Regulated
1,Advisory Committee on Business Appointments,Cabinet Office,Advisory NDPB,Retain,0,No,The Committee provides independent advice when a senior civil servant or former Minister leaves Government and wants to take up a new job.,Established 1975.  * Staff are joint secretariat with House of Lords Appointments Committee.,"G5, Ground Floor, 1 Horse Guards Road, London SW1A 2HQ",020 7271 0839,acoba@acoba.gsi.gov.uk  ,http://acoba.independent.gov.uk/ ,Lord Lang of Monkton,"£8,000 - Member's fee",Ekpe Attah,Civil Servant,No,Yes,Yes,-,2010-11,Triennial Review due 2012/13.,-,£0,"£150,000",5*,Yes
1,Big Lottery Fund,Cabinet Office,Executive NDPB,Retain,0,No,The Big Lottery Fund distributes its share of Lottery good causes money to bring real improvements to communities and the lives of people most in need.,Predecessor body established 1994; BIG established 2006. Chair's remuneration is from June 2011.,"1 Plough Place, London, EC4A 1DE
",020 7211 1800,general.enquiries@biglotteryfund.org.uk ,www.biglotteryfund.org.uk,Peter Ainsworth,"£19,200",Peter Wanless,"£155,000-165,000",No,Yes,Yes,PHSO,2011-12,-,NAO,£0,"£1,021,386,000",955,Yes
1,Boundary Commission for England,Cabinet Office,Advisory NDPB,-,0,No,The Commission’s statutory function is to keep under review the distribution of constituencies in England and to make reports with recommendations every 5 years in accordance with the provisions of the Parliamentary Constituencies Act 1986 (as amended).,"Established 1944.  The Chair of the Commission is the Speaker of the House of Commons, but in practice he does not participate in the formulation of the Commission’s recommendations, nor in the conduct of reviews.","35 Great Smith Street, London SW1P 3BQ",020 7276 1102,information@bcommengland.x.gsi.gov.uk,http://consultation.boundarycommissionforengland.independent.gov.uk/,"Chair: Speaker of the House of Commons, Rt Hon John Bercow MP.  Deputy Chair: The Hon Mr Justice Sales",£0,Simon James,Civil Servant,No,Yes,Yes,PHSO,2011-12,-,-,"£2, 767, 639",-,21,Yes
1,Boundary Commission for Wales,Cabinet Office,Advisory NDPB,-,0,No,The Commission’s statutory function is to keep under review the distribution of constituencies in Wales and to make reports with recommendations every 5 years in accordance with the provisions of the Parliamentary Constituencies Act 1986 (as amended). ,"Established 1944.  The Chair of the Commission is the Speaker of the House of Commons, but in practice he does not participate in the formulation of the Commission’s recommendations, nor in the conduct of reviews.     ","Caradog House, 1-6 St Andrews Place, Cardiff, CF10 3BE",029 2039 5031,bcomm.wales@wales.gsi.gov.uk ,http://bcomm-wales.gov.uk,"Chair: Speaker of the House of Commons, Rt Hon John Bercow MP.  Deputy Chair: The Hon Mr Justice Wyn Williams  ",£0,Ben Whitestone,Civil Servant,No,Yes,Yes,PHSO,2011-12,-,-,"£419, 591",-,5,Yes
1,Civil Service Commission,Cabinet Office,Executive NDPB,-,-,Yes,Regulates recruitment to the Civil Service,"Established 1855, NDPB since 2011","1 Horse Guards Road, London, SW1A 2HQ",020 7271 0831,info@csc.gsi.gov.uk,http://civilservicecommission.independent.gov.uk/,Sir David Normington GCB,"£85,000-90,000",Vacant (was Dr Richard Jarvis),Civil Servant,No,Yes,Yes,-,2011-12,-,NAO,"£1,107,000","£1,217,000",9,No
1,Committee on Standards in Public Life,Cabinet Office,Advisory NDPB,Retain,0,No,"The Committee examines standards of ethical conduct among public office holders in the UK and makes recommendations to the government as to any changes in present arrangements, including those relating to party funding.",Established 1994.,"1 Horse Guards Road, London, SW1A 2HQ",020 7271 0853,public@standards.gsi.gov.uk,www.public-standards.gov.uk,Sir Christopher Kelly KCB,"£50,000",Dr Hannah White,Civil Servant,No,Yes,Yes,-,2011-12,Triennial Review due 2012/13.,Overseen by the Cabinet Office Accounting Officer,"£600,000","£469,226",4,Yes
1,House of Lords Appointments Commission,Cabinet Office,Advisory NDPB,Retain,0,No,The Commission's role is to select new independent members of the House of Lords and to vet party-political nominations put forward by the political parties.,Established 2000.  * Staff are joint secretariat with Advisory Committee on Business Appointments.,"G5, Ground Floor, 1 Horse Guards Road, London SW1A 2HQ",020 7271 0848,enquiry@lordsappointments.gsi.gov.uk,http://lordsappointments.independent.gov.uk/,Lord Jay of Ewelme,"£8,000 - Member's fee",Dr Richard Jarvis,Civil Servant,No,Yes,Yes,-,2010-11,Triennial Review due 2012/13.,-,£0,"£115,000",5*,Yes
1,Security Vetting Appeals Panel,Cabinet Office,Advisory NDPB,Retain,0,No,To hear appeals against the refusal or withdrawal of security clearance and to make recommendations to the appropriate head of department.,Established 1997.,"The Secretary, Security Vetting Appeals Panel, Room 335, Cabinet Office, 70 Whitehall, London SW1A 2AS.",020 7276 5645,svap@cabinet-office.x.gsi.gov.uk,-,Sir George Newman,"£6,673",Martin Sterling,Civil Servant,No,No,Yes,-,2011-12,2010,-,"£86,000.00",-,3,Yes
1,Senior Salaries Review Body,Cabinet Office,Advisory NDPB,Retain,0,No,"The Review Body on Senior Salaries provides independent advice to the Prime Minister, the Lord Chancellor and the Secretary of State for Defence on the remuneration of holders of judicial office; senior civil servants; senior officers of the armed forces; and other such public appointments as may from time to time be specified. ",Established 1971.,"Office of Manpower Economics, 6th Floor, Victoria House, Southampton Row, London, WC1B 4AD",020 7271 0493,neil.higginbottom@bis.gsi.gov.uk ,www.ome.uk.com/Senior_Salaries_Review_Body.aspx,"Bill Cockburn, CBE TD",£350 per day,-,-,No,No,Yes,-,2011-12,2011,NAO,"£77,550",-,0,Yes
1,"Advisory, Conciliation and Arbitration Service (Acas)","Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,The aim of Acas is to improve organisations and working life through better employment relations.,Established 1975.,"Acas National (Head Office), Euston Tower, 286 Euston Road, London NW1 3JJ.",08457 474747,-,www.acas.org.uk/ ,Ed Sweeney,"£70,000 - £75,000",John Taylor,"£135,000 - £145,000",No ,No ,Yes ,PHSO,2011-12,Triennial Review 2011/12.,NAO,"£48,009,000","£47,250,000",817,Yes
